component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA,iddq_0h_uA_group_count,iddq_0h_uA_group_mean,iddq_0h_uA_group_median,iddq_0h_uA_group_std,iddq_0h_uA_group_min,iddq_0h_uA_group_max,iddq_0h_uA_group_q1,iddq_0h_uA_group_q3,iddq_0h_uA_group_iqr,iddq_0h_uA_group_mad,iddq_24h_uA_group_count,iddq_24h_uA_group_mean,iddq_24h_uA_group_median,iddq_24h_uA_group_std,iddq_24h_uA_group_min,iddq_24h_uA_group_max,iddq_24h_uA_group_q1,iddq_24h_uA_group_q3,iddq_24h_uA_group_iqr,iddq_24h_uA_group_mad,iddq_96h_uA_group_count,iddq_96h_uA_group_mean,iddq_96h_uA_group_median,iddq_96h_uA_group_std,iddq_96h_uA_group_min,iddq_96h_uA_group_max,iddq_96h_uA_group_q1,iddq_96h_uA_group_q3,iddq_96h_uA_group_iqr,iddq_96h_uA_group_mad,iddq_168h_uA_group_count,iddq_168h_uA_group_mean,iddq_168h_uA_group_median,iddq_168h_uA_group_std,iddq_168h_uA_group_min,iddq_168h_uA_group_max,iddq_168h_uA_group_q1,iddq_168h_uA_group_q3,iddq_168h_uA_group_iqr,iddq_168h_uA_group_mad,leakage_0h_uA_group_count,leakage_0h_uA_group_mean,leakage_0h_uA_group_median,leakage_0h_uA_group_std,leakage_0h_uA_group_min,leakage_0h_uA_group_max,leakage_0h_uA_group_q1,leakage_0h_uA_group_q3,leakage_0h_uA_group_iqr,leakage_0h_uA_group_mad,leakage_24h_uA_group_count,leakage_24h_uA_group_mean,leakage_24h_uA_group_median,leakage_24h_uA_group_std,leakage_24h_uA_group_min,leakage_24h_uA_group_max,leakage_24h_uA_group_q1,leakage_24h_uA_group_q3,leakage_24h_uA_group_iqr,leakage_24h_uA_group_mad,leakage_96h_uA_group_count,leakage_96h_uA_group_mean,leakage_96h_uA_group_median,leakage_96h_uA_group_std,leakage_96h_uA_group_min,leakage_96h_uA_group_max,leakage_96h_uA_group_q1,leakage_96h_uA_group_q3,leakage_96h_uA_group_iqr,leakage_96h_uA_group_mad,leakage_168h_uA_group_count,leakage_168h_uA_group_mean,leakage_168h_uA_group_median,leakage_168h_uA_group_std,leakage_168h_uA_group_min,leakage_168h_uA_group_max,leakage_168h_uA_group_q1,leakage_168h_uA_group_q3,leakage_168h_uA_group_iqr,leakage_168h_uA_group_mad,iddq_0h_uA_deviation,iddq_0h_uA_robust_z,iddq_0h_uA_iqr_anomaly,iddq_24h_uA_deviation,iddq_24h_uA_robust_z,iddq_24h_uA_iqr_anomaly,iddq_96h_uA_deviation,iddq_96h_uA_robust_z,iddq_96h_uA_iqr_anomaly,iddq_168h_uA_deviation,iddq_168h_uA_robust_z,iddq_168h_uA_iqr_anomaly,leakage_0h_uA_deviation,leakage_0h_uA_robust_z,leakage_0h_uA_iqr_anomaly,leakage_24h_uA_deviation,leakage_24h_uA_robust_z,leakage_24h_uA_iqr_anomaly,leakage_96h_uA_deviation,leakage_96h_uA_robust_z,leakage_96h_uA_iqr_anomaly,leakage_168h_uA_deviation,leakage_168h_uA_robust_z,leakage_168h_uA_iqr_anomaly,max_robust_z,statistical_evidence_count,statistical_score,statistical_anomaly_flag,isolation_forest_score,isolation_forest_flag,combined_anomaly_score,anomaly_flag,limit_violation,limit_excess_uA,risk_score,risk_score_100,risk_level,screening_decision,explanation,stage,cumulative_components,batches_processed
C1,L1,TypeA,28.41,1.01,11.05,12.05,13.05,14.05,1.1,1.2,1.3,1.4,Normal,50,1,11.05,11.05,,11.05,11.05,11.05,11.05,0.0,0.0,1,12.05,12.05,,12.05,12.05,12.05,12.05,0.0,0.0,1,13.05,13.05,,13.05,13.05,13.05,13.05,0.0,0.0,1,14.05,14.05,,14.05,14.05,14.05,14.05,0.0,0.0,1,1.1,1.1,,1.1,1.1,1.1,1.1,0.0,0.0,1,1.2,1.2,,1.2,1.2,1.2,1.2,0.0,0.0,1,1.3,1.3,,1.3,1.3,1.3,1.3,0.0,0.0,1,1.4,1.4,,1.4,1.4,1.4,1.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.06005366947506974,0,0.03002683473753487,0,0,0.0,0.019517442579397665,1.95,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,8,16000,8
C2,L1,TypeB,25.66,1.01,11.05,12.05,13.05,14.05,1.11,1.21,1.31,1.41,Normal,50,1,11.05,11.05,,11.05,11.05,11.05,11.05,0.0,0.0,1,12.05,12.05,,12.05,12.05,12.05,12.05,0.0,0.0,1,13.05,13.05,,13.05,13.05,13.05,13.05,0.0,0.0,1,14.05,14.05,,14.05,14.05,14.05,14.05,0.0,0.0,1,1.11,1.11,,1.11,1.11,1.11,1.11,0.0,0.0,1,1.21,1.21,,1.21,1.21,1.21,1.21,0.0,0.0,1,1.31,1.31,,1.31,1.31,1.31,1.31,0.0,0.0,1,1.41,1.41,,1.41,1.41,1.41,1.41,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.09392237309914397,0,0.04696118654957199,0,0,0.0,0.03052477125722179,3.05,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,8,16000,8
C3,L1,TypeA,29.83,1.16,8.41,9.41,10.41,11.41,0.84,0.94,1.04,1.14,Normal,50,1,8.41,8.41,,8.41,8.41,8.41,8.41,0.0,0.0,1,9.41,9.41,,9.41,9.41,9.41,9.41,0.0,0.0,1,10.41,10.41,,10.41,10.41,10.41,10.41,0.0,0.0,1,11.41,11.41,,11.41,11.41,11.41,11.41,0.0,0.0,1,0.84,0.84,,0.84,0.84,0.84,0.84,0.0,0.0,1,0.94,0.94,,0.94,0.94,0.94,0.94,0.0,0.0,1,1.04,1.04,,1.04,1.04,1.04,1.04,0.0,0.0,1,1.14,1.14,,1.14,1.14,1.14,1.14,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.16967298311297282,0,0.08483649155648641,0,0,0.0,0.05514371951171617,5.51,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,8,16000,8
C4,L1,TypeA,28.69,1.17,12.51,12.51,12.51,12.51,1.25,1.25,1.25,1.25,High_Stable,50,1,12.51,12.51,,12.51,12.51,12.51,12.51,0.0,0.0,1,12.51,12.51,,12.51,12.51,12.51,12.51,0.0,0.0,1,12.51,12.51,,12.51,12.51,12.51,12.51,0.0,0.0,1,12.51,12.51,,12.51,12.51,12.51,12.51,0.0,0.0,1,1.25,1.25,,1.25,1.25,1.25,1.25,0.0,0.0,1,1.25,1.25,,1.25,1.25,1.25,1.25,0.0,0.0,1,1.25,1.25,,1.25,1.25,1.25,1.25,0.0,0.0,1,1.25,1.25,,1.25,1.25,1.25,1.25,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.1363146131610011,0,0.06815730658050055,0,0,0.0,0.04430224927732536,4.43,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,8,16000,8
C5,L1,TypeA,25.31,1.16,9.81,10.81,11.81,12.81,0.98,1.08,1.18,1.28,Normal,50,1,9.81,9.81,,9.81,9.81,9.81,9.81,0.0,0.0,1,10.81,10.81,,10.81,10.81,10.81,10.81,0.0,0.0,1,11.81,11.81,,11.81,11.81,11.81,11.81,0.0,0.0,1,12.81,12.81,,12.81,12.81,12.81,12.81,0.0,0.0,1,0.98,0.98,,0.98,0.98,0.98,0.98,0.0,0.0,1,1.08,1.08,,1.08,1.08,1.08,1.08,0.0,0.0,1,1.18,1.18,,1.18,1.18,1.18,1.18,0.0,0.0,1,1.28,1.28,,1.28,1.28,1.28,1.28,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.09105325280359244,0,0.04552662640179622,0,0,0.0,0.029592307161167546,2.96,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,8,16000,8
C6,L1,TypeB,27.56,1.08,13.85,15.85,18.85,23.85,1.39,1.59,1.89,2.39,Latent_Defect,50,1,13.85,13.85,,13.85,13.85,13.85,13.85,0.0,0.0,1,15.85,15.85,,15.85,15.85,15.85,15.85,0.0,0.0,1,18.85,18.85,,18.85,18.85,18.85,18.85,0.0,0.0,1,23.85,23.85,,23.85,23.85,23.85,23.85,0.0,0.0,1,1.39,1.39,,1.39,1.39,1.39,1.39,0.0,0.0,1,1.59,1.59,,1.59,1.59,1.59,1.59,0.0,0.0,1,1.89,1.89,,1.89,1.89,1.89,1.89,0.0,0.0,1,2.39,2.39,,2.39,2.39,2.39,2.39,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.23952884206496433,0,0.11976442103248217,0,0,0.0,0.07784687367111341,7.78,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,8,16000,8
C7,L1,TypeC,32.53,1.3,10.79,12.79,15.79,20.79,1.08,1.28,1.58,2.08,Latent_Defect,50,1,10.79,10.79,,10.79,10.79,10.79,10.79,0.0,0.0,1,12.79,12.79,,12.79,12.79,12.79,12.79,0.0,0.0,1,15.79,15.79,,15.79,15.79,15.79,15.79,0.0,0.0,1,20.79,20.79,,20.79,20.79,20.79,20.79,0.0,0.0,1,1.08,1.08,,1.08,1.08,1.08,1.08,0.0,0.0,1,1.28,1.28,,1.28,1.28,1.28,1.28,0.0,0.0,1,1.58,1.58,,1.58,1.58,1.58,1.58,0.0,0.0,1,2.08,2.08,,2.08,2.08,2.08,2.08,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.19568239560218145,0,0.09784119780109073,0,0,0.0,0.06359677857070897,6.36,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,8,16000,8
C8,L1,TypeB,25.96,1.02,10.65,11.65,12.65,60.0,1.07,1.17,1.27,6.0,Absolute_Failure,50,1,10.65,10.65,,10.65,10.65,10.65,10.65,0.0,0.0,1,11.65,11.65,,11.65,11.65,11.65,11.65,0.0,0.0,1,12.65,12.65,,12.65,12.65,12.65,12.65,0.0,0.0,1,60.0,60.0,,60.0,60.0,60.0,60.0,0.0,0.0,1,1.07,1.07,,1.07,1.07,1.07,1.07,0.0,0.0,1,1.17,1.17,,1.17,1.17,1.17,1.17,0.0,0.0,1,1.27,1.27,,1.27,1.27,1.27,1.27,0.0,0.0,1,6.0,6.0,,6.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.26673246164548264,0,0.13336623082274132,0,1,10.0,0.33668805003478186,33.67,MEDIUM,REJECT,final Iddq exceeds the absolute specification limit.,8,16000,8
C9,L1,TypeB,28.17,1.25,12.03,13.03,32.03,34.03,1.2,1.3,3.2,3.4,Sudden_Anomaly,50,1,12.03,12.03,,12.03,12.03,12.03,12.03,0.0,0.0,1,13.03,13.03,,13.03,13.03,13.03,13.03,0.0,0.0,1,32.03,32.03,,32.03,32.03,32.03,32.03,0.0,0.0,1,34.03,34.03,,34.03,34.03,34.03,34.03,0.0,0.0,1,1.2,1.2,,1.2,1.2,1.2,1.2,0.0,0.0,1,1.3,1.3,,1.3,1.3,1.3,1.3,0.0,0.0,1,3.2,3.2,,3.2,3.2,3.2,3.2,0.0,0.0,1,3.4,3.4,,3.4,3.4,3.4,3.4,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.2351851754005647,0,0.11759258770028234,0,0,0.0,0.07643518200518352,7.64,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,8,16000,8
C10,L1,TypeC,33.89,1.27,11.46,13.46,16.46,21.46,1.15,1.35,1.65,2.15,Latent_Defect,50,1,11.46,11.46,,11.46,11.46,11.46,11.46,0.0,0.0,1,13.46,13.46,,13.46,13.46,13.46,13.46,0.0,0.0,1,16.46,16.46,,16.46,16.46,16.46,16.46,0.0,0.0,1,21.46,21.46,,21.46,21.46,21.46,21.46,0.0,0.0,1,1.15,1.15,,1.15,1.15,1.15,1.15,0.0,0.0,1,1.35,1.35,,1.35,1.35,1.35,1.35,0.0,0.0,1,1.65,1.65,,1.65,1.65,1.65,1.65,0.0,0.0,1,2.15,2.15,,2.15,2.15,2.15,2.15,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0,0.19024023645072413,0,0.09512011822536207,0,0,0.0,0.06182807684648534,6.18,LOW,PASS,No strong anomaly evidence detected; component follows its group pattern.,8,16000,8
