stage,component_id,lot_id,component_type,temperature_C,voltage_V,anomaly_factor,drift_factor,future_factor,specification_factor,risk_score,qa_classification,risk_explanation,combined_anomaly_score,anomaly_flag,statistical_score,statistical_anomaly_flag,temporal_anomaly_score,temporal_anomaly_flag,isolation_forest_score,isolation_forest_flag,statistical_evidence_count,limit_violation,limit_excess_uA,absolute_limit_uA,predicted_168h_uA,prediction_lower_uA,prediction_upper_uA,prediction_error_uA,absolute_prediction_error_uA,predicted_drift_uA,predicted_drift_rate,predicted_relative_drift,safety_slope,drift_slope_excess,early_drift_flag,predicted_limit_exceeded,uncertainty_adjusted_failure,limit_margin_uA,upper_bound_limit_margin_uA,future_drift_risk,module_b_status,module_b_match
4,C6955,L4,TypeA,29.39,1.27,0.9298236880395286,0.4559727941714419,1.0,1.0,84.29403049547192,Review,Risk score: 84.29/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8997481257707551,1,0.9475,1,1.0,1,0.8519962515415103,1,6,1,10.0,50,31.75173226053989,6.034690114337039,57.46877440674274,-28.24826773946011,28.24826773946011,23.27173226053989,0.1385222158365469,2.744308049591968,0.0178571428571428,0.1206650729794041,True,False,True,18.24826773946011,-7.468774406742739,HIGH,PREDICTED_FAILURE,True
4,C2917,L2,TypeC,25.26,1.18,0.8922884810555031,0.48815254212062176,1.0,1.0,83.97246798468065,Review,Risk score: 83.97/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8461264015078617,1,0.9475,1,1.0,1,0.7447528030157233,1,6,1,10.0,50,49.88557558732669,24.16853344112384,75.60261773352954,-10.114424412673308,10.114424412673308,35.66557558732669,0.2122950927817065,2.508127678433663,0.0178571428571428,0.1944379499245636,True,False,True,0.1144244126733085,-25.60261773352954,HIGH,PREDICTED_FAILURE,True
4,C2659,L2,TypeC,26.27,1.17,0.9131890640923158,0.44363985374301584,1.0,1.0,83.48666826634486,Review,Risk score: 83.49/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8759843772747371,1,0.9475,1,1.0,1,0.8044687545494741,1,6,1,10.0,50,42.64494381375814,16.92790166755529,68.36198595996099,-17.35505618624186,17.35505618624186,27.84494381375814,0.1657437131771317,1.8814151225512252,0.0178571428571428,0.1478865703199889,True,False,True,7.35505618624186,-18.36198595996099,HIGH,PREDICTED_FAILURE,True
4,C4160,L3,TypeA,32.38,1.24,0.8782630315556751,0.4617518270224822,1.0,1.0,82.89168662223231,Review,Risk score: 82.89/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8260900450795359,1,0.8540604999999994,1,1.0,1,0.7981195901590724,1,4,1,10.0,50,31.89539313198392,6.178350985781066,57.612435278186766,-28.104606868016084,28.104606868016084,23.865393131983915,0.1420559114999042,2.972029032625644,0.0178571428571428,0.1241987686427614,True,False,True,18.104606868016084,-7.612435278186766,HIGH,PREDICTED_FAILURE,True
4,C1923,L1,TypeB,26.32,1.22,0.8929129177795406,0.43248031999567993,1.0,1.0,82.59939553327823,Review,Risk score: 82.60/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8470184539707724,1,0.895,1,1.0,1,0.7990369079415447,1,4,1,10.0,50,40.7866854789471,15.06964333274425,66.50372762514995,-19.2133145210529,19.2133145210529,26.0366854789471,0.1549802707080184,1.7651990155218371,0.0178571428571428,0.1371231278508756,True,False,True,9.2133145210529,-16.50372762514995,HIGH,PREDICTED_FAILURE,True
4,C6647,L4,TypeB,25.48,1.25,0.8527172818100978,0.4715277649249886,1.0,1.0,82.36971257742766,Review,Risk score: 82.37/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7895961168715682,1,0.895,1,1.0,1,0.6841922337431362,1,4,1,10.0,50,45.29154952493335,19.57450737873049,71.0085916711362,-14.708450475066655,14.708450475066655,31.671549524933347,0.1885211281246032,2.325370743387177,0.0178571428571428,0.1706639852674604,True,False,True,4.708450475066655,-21.0085916711362,HIGH,PREDICTED_FAILURE,True
4,C2817,L2,TypeC,33.48,1.13,0.8695416666666667,0.4229595435463416,1.0,1.0,81.66023858865854,Review,Risk score: 81.66/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.86125,1,0.7224999999999999,1,0.25,0,1.0,1,6,1,10.0,50,39.33536198885215,13.6183198426493,65.052404135055,-20.66463801114785,20.66463801114785,24.60536198885215,0.1464604880288818,1.6704251180483467,0.0178571428571428,0.128603345171739,True,False,True,10.66463801114785,-15.052404135055,HIGH,PREDICTED_FAILURE,True
4,C7102,L4,TypeC,30.57,1.21,0.8392459124270863,0.4429567861519129,1.0,1.0,81.25129702661042,Review,Risk score: 81.25/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.817970351086314,1,0.7224999999999999,1,0.25,0,0.913440702172628,1,6,1,10.0,50,41.438035857557104,15.720993711354254,67.15507800375995,-18.561964142442896,18.561964142442896,27.1980358575571,0.161893070580697,1.9099744281992344,0.0178571428571428,0.1440359277235542,True,False,True,8.561964142442896,-17.155078003759954,HIGH,PREDICTED_FAILURE,True
4,C7099,L4,TypeB,25.3,1.09,0.7842051872410709,0.49882108089224664,1.0,1.0,80.99668263953829,Review,Risk score: 81.00/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.7869597912967681,1,0.8424999999999998,1,1.0,1,0.7314195825935365,1,2,1,10.0,50,41.01641322414477,15.29937107794192,66.73345537034763,-18.98358677585523,18.98358677585523,32.82641322414477,0.1953953168103855,4.00810906277714,0.0178571428571428,0.1775381739532427,True,False,True,8.98358677585523,-16.733455370347627,HIGH,PREDICTED_FAILURE,True
4,C6465,L4,TypeB,33.6,1.03,0.8070042529819786,0.47052755055710693,1.0,1.0,80.97331635338703,Review,Risk score: 80.97/100. QA classification: Review. Future evidence is the strongest risk contributor (100.0%).,0.8195298852123506,1,0.8424999999999998,1,1.0,1,0.7965597704247014,1,2,1,10.0,50,34.628526536705586,8.911484390502736,60.34556868290844,-25.37147346329441,25.37147346329441,26.158526536705587,0.155705515099438,3.0883738532119933,0.0178571428571428,0.1378483722422951,True,False,True,15.371473463294414,-10.345568682908436,HIGH,PREDICTED_FAILURE,True
