component_id,lot_id,component_type,temperature,voltage,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA,actual_abnormal,predicted_168h_uA,prediction_lower_uA,prediction_upper_uA,prediction_error_uA,absolute_prediction_error_uA,predicted_drift_uA,predicted_drift_rate,predicted_relative_drift,actual_drift_uA,actual_drift_rate,safety_slope,drift_slope_excess,early_drift_flag,predicted_limit_exceeded,uncertainty_adjusted_failure,limit_margin_uA,upper_bound_limit_margin_uA,future_drift_risk,module_b_status,module_b_explanation
C1,L1,TypeA,28.41,1.01,11.05,12.05,13.05,14.05,1.1,1.2,1.3,1.4,Normal,50,False,32.11833653025073,4.528962650787161,59.707710409714295,18.06833653025073,18.06833653025073,21.06833653025073,0.12540676506101625,1.906636790067939,3.0,0.017857142857142856,0.017857142857142856,0.1075496222038734,True,False,True,17.88166346974927,-9.707710409714295,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C2,L1,TypeB,25.66,1.01,11.05,12.05,13.05,14.05,1.11,1.21,1.31,1.41,Normal,50,False,36.92808494302224,9.338711063558673,64.5174588224858,22.87808494302224,22.87808494302224,25.87808494302224,0.15403621989894192,2.341908139640022,3.0,0.017857142857142856,0.017857142857142856,0.13617907704179907,True,False,True,13.071915056977758,-14.517458822485807,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C3,L1,TypeA,29.83,1.16,8.41,9.41,10.41,11.41,0.84,0.94,1.04,1.14,Normal,50,False,19.06195581580976,-8.527418063653808,46.65132969527333,7.65195581580976,7.65195581580976,10.65195581580976,0.06340449890362952,1.2665821421890322,3.0,0.017857142857142856,0.017857142857142856,0.045547356046486666,True,False,False,30.93804418419024,3.3486703047266673,MEDIUM,EARLY_DRIFT_RISK,Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C4,L1,TypeA,28.69,1.17,12.51,12.51,12.51,12.51,1.25,1.25,1.25,1.25,High_Stable,50,True,18.828985572702088,-8.760388306761481,46.41835945216566,6.318985572702088,6.318985572702088,6.318985572702088,0.037613009361321954,0.5051147540129567,0.0,0.0,0.017857142857142856,0.019755866504179098,True,False,False,31.171014427297912,3.58164054783434,MEDIUM,EARLY_DRIFT_RISK,Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C5,L1,TypeA,25.31,1.16,9.81,10.81,11.81,12.81,0.98,1.08,1.18,1.28,Normal,50,False,34.03126911744623,6.44189523798266,61.620642996909794,21.221269117446226,21.221269117446226,24.221269117446226,0.1441742209371799,2.469038646018983,3.0,0.017857142857142856,0.017857142857142856,0.12631707808003706,True,False,True,15.968730882553771,-11.620642996909794,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C6,L1,TypeB,27.56,1.08,13.85,15.85,18.85,23.85,1.39,1.59,1.89,2.39,Latent_Defect,50,True,33.07575233276986,5.4863784533062905,60.66512621223343,9.225752332769858,9.225752332769858,19.225752332769858,0.11443900198077296,1.3881409626548633,10.000000000000002,0.059523809523809534,0.017857142857142856,0.0965818591236301,True,False,True,16.92424766723014,-10.665126212233432,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C7,L1,TypeC,32.53,1.3,10.79,12.79,15.79,20.79,1.08,1.28,1.58,2.08,Latent_Defect,50,True,24.603973813063103,-2.985400066400466,52.19334769252667,3.813973813063104,3.813973813063104,13.813973813063104,0.08222603460156609,1.2802570725730402,10.0,0.05952380952380952,0.017857142857142856,0.06436889174442323,True,False,True,25.396026186936897,-2.1933476925266717,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C8,L1,TypeB,25.96,1.02,10.65,11.65,12.65,60.0,1.07,1.17,1.27,6.0,Absolute_Failure,50,True,27.53719639183346,-0.05217748763010732,55.12657027129703,-32.46280360816654,32.46280360816654,16.887196391833463,0.10051902614186585,1.5856522433646443,49.35,0.29375,0.017857142857142856,0.08266188328472299,True,False,True,22.46280360816654,-5.126570271297027,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C9,L1,TypeB,28.17,1.25,12.03,13.03,32.03,34.03,1.2,1.3,3.2,3.4,Sudden_Anomaly,50,True,29.93413246669064,2.344758587227073,57.52350634615421,-4.0958675333093595,4.0958675333093595,17.90413246669064,0.10657221706363476,1.4882903131081164,22.0,0.13095238095238096,0.017857142857142856,0.08871507420649191,True,False,True,20.06586753330936,-7.523506346154207,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C10,L1,TypeC,33.89,1.27,11.46,13.46,16.46,21.46,1.15,1.35,1.65,2.15,Latent_Defect,50,True,24.512946618864884,-3.0764272605986847,52.10232049832845,3.0529466188648833,3.0529466188648833,13.052946618864883,0.07769611082657668,1.1390005775623806,10.0,0.05952380952380952,0.017857142857142856,0.059838967969433825,True,False,True,25.487053381135116,-2.102320498328453,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
