component_id,lot_id,component_type,temperature,voltage,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA,actual_abnormal,predicted_168h_uA,prediction_lower_uA,prediction_upper_uA,prediction_error_uA,absolute_prediction_error_uA,predicted_drift_uA,predicted_drift_rate,predicted_relative_drift,actual_drift_uA,actual_drift_rate,safety_slope,drift_slope_excess,early_drift_flag,predicted_limit_exceeded,uncertainty_adjusted_failure,limit_margin_uA,upper_bound_limit_margin_uA,future_drift_risk,module_b_status,module_b_explanation
C1,L1,TypeA,28.41,1.01,11.05,12.05,13.05,14.05,1.1,1.2,1.3,1.4,Normal,50,False,27.508983458094804,0.4415185474713077,54.5764483687183,13.458983458094803,13.458983458094803,16.458983458094803,0.09797013963151668,1.4895007654384436,3.0,0.017857142857142856,0.017857142857142856,0.08011299677437383,True,False,True,22.491016541905196,-4.576448368718303,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C2,L1,TypeB,25.66,1.01,11.05,12.05,13.05,14.05,1.11,1.21,1.31,1.41,Normal,50,False,27.223821566021332,0.15635665539783616,54.29128647664483,13.173821566021331,13.173821566021331,16.17382156602133,0.09627274741679363,1.463694259368446,3.0,0.017857142857142856,0.017857142857142856,0.07841560455965077,True,False,True,22.776178433978668,-4.291286476644828,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C3,L1,TypeA,29.83,1.16,8.41,9.41,10.41,11.41,0.84,0.94,1.04,1.14,Normal,50,False,29.272589190820383,2.2051242801968876,56.34005410144388,17.862589190820383,17.862589190820383,20.862589190820383,0.124182078516788,2.4806883698954083,3.0,0.017857142857142856,0.017857142857142856,0.10632493565964515,True,False,True,20.727410809179617,-6.340054101443883,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C4,L1,TypeA,28.69,1.17,12.51,12.51,12.51,12.51,1.25,1.25,1.25,1.25,High_Stable,50,True,14.348659774304164,-12.718805136319332,41.41612468492766,1.8386597743041637,1.8386597743041637,1.8386597743041637,0.010944403418477164,0.14697520178290677,0.0,0.0,0.017857142857142856,-0.006912739438665692,False,False,False,35.65134022569583,8.58387531507234,LOW,NORMAL,Predicted 168h behavior remains within the dynamic safety boundary.
C5,L1,TypeA,25.31,1.16,9.81,10.81,11.81,12.81,0.98,1.08,1.18,1.28,Normal,50,False,36.194444053119696,9.1269791424962,63.261908963743195,23.384444053119694,23.384444053119694,26.384444053119694,0.15705026222095056,2.6895457750376854,3.0,0.017857142857142856,0.017857142857142856,0.1391931193638077,True,False,True,13.805555946880304,-13.261908963743195,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C6,L1,TypeB,27.56,1.08,13.85,15.85,18.85,23.85,1.39,1.59,1.89,2.39,Latent_Defect,50,True,25.610013328516402,-1.457451582107094,52.6774782391399,1.7600133285164006,1.7600133285164006,11.760013328516402,0.07000007933640716,0.8490984352719424,10.000000000000002,0.059523809523809534,0.017857142857142856,0.0521429364792643,True,False,True,24.389986671483598,-2.6774782391399015,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C7,L1,TypeC,32.53,1.3,10.79,12.79,15.79,20.79,1.08,1.28,1.58,2.08,Latent_Defect,50,True,20.54389804355895,-6.523566867064545,47.61136295418245,-0.24610195644104849,0.24610195644104849,9.753898043558952,0.05805891692594614,0.9039757222946202,10.0,0.05952380952380952,0.017857142857142856,0.040201774068803285,True,False,False,29.45610195644105,2.3886370458175534,MEDIUM,EARLY_DRIFT_RISK,Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C8,L1,TypeB,25.96,1.02,10.65,11.65,12.65,60.0,1.07,1.17,1.27,6.0,Absolute_Failure,50,True,34.69894014765713,7.631475237033637,61.766405058280625,-25.301059852342867,25.301059852342867,24.048940147657135,0.1431484532598639,2.258116445789402,49.35,0.29375,0.017857142857142856,0.12529131040272104,True,False,True,15.301059852342867,-11.766405058280625,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C9,L1,TypeB,28.17,1.25,12.03,13.03,32.03,34.03,1.2,1.3,3.2,3.4,Sudden_Anomaly,50,True,30.71885148284257,3.6513865722190744,57.786316393466066,-3.311148517157431,3.311148517157431,18.688851482842573,0.11124316358834865,1.5535204890143453,22.0,0.13095238095238096,0.017857142857142856,0.0933860207312058,True,False,True,19.28114851715743,-7.786316393466066,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C10,L1,TypeC,33.89,1.27,11.46,13.46,16.46,21.46,1.15,1.35,1.65,2.15,Latent_Defect,50,True,21.83434188154425,-5.233123029079245,48.90180679216775,0.3743418815442503,0.3743418815442503,10.37434188154425,0.06175203500919196,0.9052654346897251,10.0,0.05952380952380952,0.017857142857142856,0.04389489215204911,True,False,False,28.16565811845575,1.098193207832253,MEDIUM,EARLY_DRIFT_RISK,Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C11,L1,TypeA,30.79,1.14,14.66,15.66,16.66,60.0,1.47,1.57,1.67,6.0,Absolute_Failure,50,True,40.21192299133124,13.144458080707746,67.27938790195473,-19.788077008668758,19.788077008668758,25.551922991331242,0.15209477971030502,1.7429688261481064,45.34,0.2698809523809524,0.017857142857142856,0.13423763685316217,True,False,True,9.788077008668758,-17.279387901954735,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
C12,L1,TypeB,26.71,1.24,11.39,12.39,13.39,14.39,1.14,1.24,1.34,1.44,Normal,50,False,29.581616184449324,2.514151273825828,56.649081095072816,15.191616184449323,15.191616184449323,18.191616184449323,0.10828342966934121,1.5971568204081934,3.0,0.017857142857142856,0.017857142857142856,0.09042628681219836,True,False,True,20.418383815550676,-6.649081095072816,HIGH,PREDICTED_FAILURE,Prediction uncertainty interval reaches or exceeds absolute limit; Predicted future drift exceeds dynamic safety boundary; Component is below static limit but shows abnormal future drift
