component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA
C12001,L7,TypeB,31.51,1.16,9.85,10.85,11.85,12.85,0.98,1.08,1.18,1.28,Normal,50
C12002,L7,TypeB,27.88,1.07,8.32,10.32,13.32,18.32,0.83,1.03,1.33,1.83,Latent_Defect,50
C12003,L7,TypeC,27.26,1.26,13.16,15.16,18.16,23.16,1.32,1.52,1.82,2.32,Latent_Defect,50
C12004,L7,TypeA,28.84,1.07,12.53,13.53,32.53,34.53,1.25,1.35,3.25,3.45,Sudden_Anomaly,50
C12005,L7,TypeA,28.45,1.16,12.53,12.53,12.53,12.53,1.25,1.25,1.25,1.25,High_Stable,50
C12006,L7,TypeB,34.37,1.1,13.26,14.26,33.26,35.26,1.33,1.43,3.33,3.53,Sudden_Anomaly,50
C12007,L7,TypeB,28.82,1.08,8.04,10.04,13.04,18.04,0.8,1.0,1.3,1.8,Latent_Defect,50
C12008,L7,TypeB,33.26,1.28,10.49,10.49,10.49,10.49,1.05,1.05,1.05,1.05,High_Stable,50
C12009,L7,TypeC,33.4,1.3,8.24,9.24,10.24,60.0,0.82,0.92,1.02,6.0,Absolute_Failure,50
C12010,L7,TypeC,28.05,1.04,13.56,13.56,13.56,13.56,1.36,1.36,1.36,1.36,High_Stable,50
C12011,L7,TypeB,30.8,1.23,8.67,9.67,28.67,30.67,0.87,0.97,2.87,3.07,Sudden_Anomaly,50
C12012,L7,TypeB,26.08,1.0,13.49,14.49,15.49,16.49,1.35,1.45,1.55,1.65,Normal,50
C12013,L7,TypeC,25.66,1.09,12.77,13.77,14.77,60.0,1.28,1.38,1.48,6.0,Absolute_Failure,50
C12014,L7,TypeC,32.5,1.11,12.79,14.79,17.79,22.79,1.28,1.48,1.78,2.28,Latent_Defect,50
C12015,L7,TypeB,32.43,1.11,13.55,14.55,15.55,60.0,1.36,1.46,1.56,6.0,Absolute_Failure,50
C12016,L7,TypeA,25.65,1.02,12.01,13.01,14.01,60.0,1.2,1.3,1.4,6.0,Absolute_Failure,50
C12017,L7,TypeC,31.61,1.14,12.22,13.22,32.22,34.22,1.22,1.32,3.22,3.42,Sudden_Anomaly,50
C12018,L7,TypeB,28.54,1.14,11.36,12.36,13.36,60.0,1.14,1.24,1.34,6.0,Absolute_Failure,50
C12019,L7,TypeB,30.2,1.22,11.17,11.17,11.17,11.17,1.12,1.12,1.12,1.12,High_Stable,50
C12020,L7,TypeC,26.48,1.03,11.12,12.12,13.12,60.0,1.11,1.21,1.31,6.0,Absolute_Failure,50
C12021,L7,TypeC,34.29,1.06,12.32,14.32,17.32,22.32,1.23,1.43,1.73,2.23,Latent_Defect,50
C12022,L7,TypeB,34.19,1.23,14.6,14.6,14.6,14.6,1.46,1.46,1.46,1.46,High_Stable,50
C12023,L7,TypeC,28.96,1.24,11.05,12.05,31.05,33.05,1.11,1.21,3.11,3.31,Sudden_Anomaly,50
C12024,L7,TypeC,30.84,1.0,13.36,14.36,33.36,35.36,1.34,1.44,3.34,3.54,Sudden_Anomaly,50
C12025,L7,TypeA,28.07,1.19,11.87,13.87,16.87,21.87,1.19,1.39,1.69,2.19,Latent_Defect,50
C12026,L7,TypeB,33.86,1.09,13.0,14.0,15.0,16.0,1.3,1.4,1.5,1.6,Normal,50
C12027,L7,TypeB,26.72,1.24,10.49,11.49,12.49,13.49,1.05,1.15,1.25,1.35,Normal,50
C12028,L7,TypeC,28.74,1.17,9.9,10.9,11.9,12.9,0.99,1.09,1.19,1.29,Normal,50
C12029,L7,TypeC,29.81,1.19,12.9,14.9,17.9,22.9,1.29,1.49,1.79,2.29,Latent_Defect,50
C12030,L7,TypeC,26.47,1.05,14.22,16.22,19.22,24.22,1.42,1.62,1.92,2.42,Latent_Defect,50
C12031,L7,TypeB,29.82,1.13,8.38,9.38,10.38,11.38,0.84,0.94,1.04,1.14,Normal,50
C12032,L7,TypeB,34.03,1.05,8.25,9.25,10.25,11.25,0.83,0.93,1.03,1.13,Normal,50
C12033,L7,TypeC,28.36,1.12,10.56,10.56,10.56,10.56,1.06,1.06,1.06,1.06,High_Stable,50
C12034,L7,TypeC,28.79,1.1,12.58,13.58,14.58,60.0,1.26,1.36,1.46,6.0,Absolute_Failure,50
C12035,L7,TypeC,27.99,1.14,11.95,12.95,13.95,14.95,1.19,1.29,1.39,1.49,Normal,50
C12036,L7,TypeA,25.43,1.14,9.8,10.8,11.8,12.8,0.98,1.08,1.18,1.28,Normal,50
C12037,L7,TypeA,31.34,1.08,8.1,10.1,13.1,18.1,0.81,1.01,1.31,1.81,Latent_Defect,50
