component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA
C2001,L2,TypeC,27.73,1.16,14.41,14.41,14.41,14.41,1.44,1.44,1.44,1.44,High_Stable,50
C2002,L2,TypeB,26.19,1.12,13.17,15.17,18.17,23.17,1.32,1.52,1.82,2.32,Latent_Defect,50
C2003,L2,TypeB,30.33,1.06,11.86,12.86,13.86,60.0,1.19,1.29,1.39,6.0,Absolute_Failure,50
C2004,L2,TypeA,30.44,1.0,14.48,14.48,14.48,14.48,1.45,1.45,1.45,1.45,High_Stable,50
C2005,L2,TypeB,31.4,1.1,13.92,14.92,33.92,35.92,1.39,1.49,3.39,3.59,Sudden_Anomaly,50
C2006,L2,TypeC,32.91,1.21,12.66,14.66,17.66,22.66,1.27,1.47,1.77,2.27,Latent_Defect,50
C2007,L2,TypeB,33.91,1.19,9.93,10.93,11.93,12.93,0.99,1.09,1.19,1.29,Normal,50
C2008,L2,TypeB,27.19,1.02,12.07,14.07,17.07,22.07,1.21,1.41,1.71,2.21,Latent_Defect,50
C2009,L2,TypeA,29.57,1.29,10.81,11.81,12.81,60.0,1.08,1.18,1.28,6.0,Absolute_Failure,50
C2010,L2,TypeA,28.77,1.25,10.99,12.99,15.99,20.99,1.1,1.3,1.6,2.1,Latent_Defect,50
C2011,L2,TypeC,31.46,1.2,11.76,12.76,31.76,33.76,1.18,1.28,3.18,3.38,Sudden_Anomaly,50
C2012,L2,TypeB,30.21,1.26,11.98,11.98,11.98,11.98,1.2,1.2,1.2,1.2,High_Stable,50
C2013,L2,TypeA,34.81,1.06,9.37,11.37,14.37,19.37,0.94,1.14,1.44,1.94,Latent_Defect,50
C2014,L2,TypeC,30.72,1.25,9.49,10.49,29.49,31.49,0.95,1.05,2.95,3.15,Sudden_Anomaly,50
C2015,L2,TypeA,32.0,1.17,9.44,11.44,14.44,19.44,0.94,1.14,1.44,1.94,Latent_Defect,50
C2016,L2,TypeB,33.58,1.06,10.69,12.69,15.69,20.69,1.07,1.27,1.57,2.07,Latent_Defect,50
C2017,L2,TypeC,31.5,1.22,14.12,15.12,16.12,17.12,1.41,1.51,1.61,1.71,Normal,50
C2018,L2,TypeB,34.67,1.28,11.4,12.4,13.4,14.4,1.14,1.24,1.34,1.44,Normal,50
C2019,L2,TypeA,29.01,1.13,14.86,15.86,16.86,17.86,1.49,1.59,1.69,1.79,Normal,50
C2020,L2,TypeC,31.9,1.21,10.24,12.24,15.24,20.24,1.02,1.22,1.52,2.02,Latent_Defect,50
C2021,L2,TypeA,34.51,1.11,11.02,13.02,16.02,21.02,1.1,1.3,1.6,2.1,Latent_Defect,50
C2022,L2,TypeB,29.89,1.15,14.7,15.7,16.7,60.0,1.47,1.57,1.67,6.0,Absolute_Failure,50
C2023,L2,TypeA,28.99,1.23,15.0,16.0,17.0,60.0,1.5,1.6,1.7,6.0,Absolute_Failure,50
C2024,L2,TypeA,27.63,1.2,12.19,13.19,32.19,34.19,1.22,1.32,3.22,3.42,Sudden_Anomaly,50
C2025,L2,TypeB,29.39,1.11,12.54,14.54,17.54,22.54,1.25,1.45,1.75,2.25,Latent_Defect,50
C2026,L2,TypeB,33.8,1.16,13.91,14.91,15.91,60.0,1.39,1.49,1.59,6.0,Absolute_Failure,50
C2027,L2,TypeC,33.81,1.3,14.83,15.83,16.83,17.83,1.48,1.58,1.68,1.78,Normal,50
C2028,L2,TypeB,32.56,1.07,10.27,12.27,15.27,20.27,1.03,1.23,1.53,2.03,Latent_Defect,50
C2029,L2,TypeC,28.94,1.1,9.74,11.74,14.74,19.74,0.97,1.17,1.47,1.97,Latent_Defect,50
C2030,L2,TypeC,26.18,1.19,10.92,11.92,12.92,13.92,1.09,1.19,1.29,1.39,Normal,50
C2031,L2,TypeC,34.15,1.25,11.73,12.73,13.73,60.0,1.17,1.27,1.37,6.0,Absolute_Failure,50
C2032,L2,TypeA,26.8,1.0,10.93,10.93,10.93,10.93,1.09,1.09,1.09,1.09,High_Stable,50
C2033,L2,TypeA,32.88,1.24,10.94,11.94,30.94,32.94,1.09,1.19,3.09,3.29,Sudden_Anomaly,50
C2034,L2,TypeA,31.51,1.28,9.59,9.59,9.59,9.59,0.96,0.96,0.96,0.96,High_Stable,50
C2035,L2,TypeA,29.53,1.16,11.47,12.47,13.47,60.0,1.15,1.25,1.35,6.0,Absolute_Failure,50
C2036,L2,TypeA,28.72,1.24,12.09,13.09,32.09,34.09,1.21,1.31,3.21,3.41,Sudden_Anomaly,50
C2037,L2,TypeB,32.41,1.2,12.63,13.63,14.63,15.63,1.26,1.36,1.46,1.56,Normal,50
C2038,L2,TypeC,31.99,1.11,8.67,8.67,8.67,8.67,0.87,0.87,0.87,0.87,High_Stable,50
C2039,L2,TypeA,30.84,1.27,11.15,12.15,31.15,33.15,1.12,1.22,3.12,3.32,Sudden_Anomaly,50
C2040,L2,TypeC,33.45,1.08,13.81,15.81,18.81,23.81,1.38,1.58,1.88,2.38,Latent_Defect,50
C2041,L2,TypeB,26.4,1.21,11.78,12.78,13.78,14.78,1.18,1.28,1.38,1.48,Normal,50
C2042,L2,TypeA,25.14,1.15,9.41,9.41,9.41,9.41,0.94,0.94,0.94,0.94,High_Stable,50
C2043,L2,TypeC,31.16,1.25,13.04,15.04,18.04,23.04,1.3,1.5,1.8,2.3,Latent_Defect,50
C2044,L2,TypeA,31.53,1.19,12.98,13.98,32.98,34.98,1.3,1.4,3.3,3.5,Sudden_Anomaly,50
C2045,L2,TypeC,33.71,1.26,12.7,13.7,14.7,15.7,1.27,1.37,1.47,1.57,Normal,50
C2046,L2,TypeA,25.91,1.02,9.29,10.29,11.29,60.0,0.93,1.03,1.13,6.0,Absolute_Failure,50
