component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA
C6001,L4,TypeC,27.4,1.05,11.65,12.65,13.65,60.0,1.16,1.26,1.36,6.0,Absolute_Failure,50
C6002,L4,TypeB,27.24,1.3,11.13,12.13,13.13,14.13,1.11,1.21,1.31,1.41,Normal,50
C6003,L4,TypeB,28.16,1.1,9.66,10.66,29.66,31.66,0.97,1.07,2.97,3.17,Sudden_Anomaly,50
C6004,L4,TypeC,28.27,1.11,11.8,12.8,13.8,14.8,1.18,1.28,1.38,1.48,Normal,50
C6005,L4,TypeB,31.79,1.22,10.52,11.52,30.52,32.52,1.05,1.15,3.05,3.25,Sudden_Anomaly,50
C6006,L4,TypeA,25.94,1.14,11.83,12.83,31.83,33.83,1.18,1.28,3.18,3.38,Sudden_Anomaly,50
C6007,L4,TypeC,30.75,1.18,9.96,11.96,14.96,19.96,1.0,1.2,1.5,2.0,Latent_Defect,50
C6008,L4,TypeB,29.27,1.1,13.72,14.72,33.72,35.72,1.37,1.47,3.37,3.57,Sudden_Anomaly,50
C6009,L4,TypeB,26.14,1.05,12.79,13.79,14.79,15.79,1.28,1.38,1.48,1.58,Normal,50
C6010,L4,TypeA,28.62,1.16,9.51,10.51,11.51,12.51,0.95,1.05,1.15,1.25,Normal,50
C6011,L4,TypeC,32.13,1.23,8.72,9.72,10.72,11.72,0.87,0.97,1.07,1.17,Normal,50
C6012,L4,TypeB,26.67,1.3,11.67,12.67,13.67,60.0,1.17,1.27,1.37,6.0,Absolute_Failure,50
C6013,L4,TypeA,31.29,1.17,11.17,11.17,11.17,11.17,1.12,1.12,1.12,1.12,High_Stable,50
C6014,L4,TypeB,31.91,1.26,9.11,10.11,11.11,60.0,0.91,1.01,1.11,6.0,Absolute_Failure,50
C6015,L4,TypeB,33.52,1.28,14.64,14.64,14.64,14.64,1.46,1.46,1.46,1.46,High_Stable,50
C6016,L4,TypeA,26.95,1.11,12.74,13.74,32.74,34.74,1.27,1.37,3.27,3.47,Sudden_Anomaly,50
C6017,L4,TypeA,33.04,1.07,12.13,13.13,14.13,15.13,1.21,1.31,1.41,1.51,Normal,50
C6018,L4,TypeB,30.28,1.15,13.3,14.3,15.3,60.0,1.33,1.43,1.53,6.0,Absolute_Failure,50
C6019,L4,TypeC,34.72,1.2,13.88,13.88,13.88,13.88,1.39,1.39,1.39,1.39,High_Stable,50
C6020,L4,TypeB,33.67,1.03,10.71,11.71,12.71,60.0,1.07,1.17,1.27,6.0,Absolute_Failure,50
C6021,L4,TypeC,30.75,1.16,14.25,15.25,16.25,17.25,1.43,1.53,1.63,1.73,Normal,50
C6022,L4,TypeB,33.94,1.16,11.82,11.82,11.82,11.82,1.18,1.18,1.18,1.18,High_Stable,50
C6023,L4,TypeA,31.28,1.03,11.71,12.71,13.71,60.0,1.17,1.27,1.37,6.0,Absolute_Failure,50
C6024,L4,TypeA,28.91,1.08,9.9,10.9,29.9,31.9,0.99,1.09,2.99,3.19,Sudden_Anomaly,50
C6025,L4,TypeA,34.08,1.1,9.18,10.18,29.18,31.18,0.92,1.02,2.92,3.12,Sudden_Anomaly,50
C6026,L4,TypeC,28.24,1.27,14.2,15.2,34.2,36.2,1.42,1.52,3.42,3.62,Sudden_Anomaly,50
C6027,L4,TypeB,34.86,1.12,13.77,14.77,33.77,35.77,1.38,1.48,3.38,3.58,Sudden_Anomaly,50
C6028,L4,TypeB,34.0,1.08,10.34,12.34,15.34,20.34,1.03,1.23,1.53,2.03,Latent_Defect,50
C6029,L4,TypeB,27.4,1.01,14.87,16.87,19.87,24.87,1.49,1.69,1.99,2.49,Latent_Defect,50
C6030,L4,TypeB,28.26,1.25,8.23,9.23,28.23,30.23,0.82,0.92,2.82,3.02,Sudden_Anomaly,50
C6031,L4,TypeA,28.09,1.21,8.71,10.71,13.71,18.71,0.87,1.07,1.37,1.87,Latent_Defect,50
C6032,L4,TypeA,32.96,1.0,12.55,13.55,14.55,15.55,1.26,1.36,1.46,1.56,Normal,50
C6033,L4,TypeB,31.54,1.25,11.58,11.58,11.58,11.58,1.16,1.16,1.16,1.16,High_Stable,50
C6034,L4,TypeC,33.68,1.3,11.41,13.41,16.41,21.41,1.14,1.34,1.64,2.14,Latent_Defect,50
C6035,L4,TypeC,27.17,1.13,12.37,13.37,32.37,34.37,1.24,1.34,3.24,3.44,Sudden_Anomaly,50
C6036,L4,TypeC,26.02,1.09,8.24,8.24,8.24,8.24,0.82,0.82,0.82,0.82,High_Stable,50
C6037,L4,TypeC,33.82,1.03,9.83,9.83,9.83,9.83,0.98,0.98,0.98,0.98,High_Stable,50
C6038,L4,TypeC,34.89,1.18,14.01,16.01,19.01,24.01,1.4,1.6,1.9,2.4,Latent_Defect,50
C6039,L4,TypeC,26.69,1.1,9.62,10.62,11.62,12.62,0.96,1.06,1.16,1.26,Normal,50
C6040,L4,TypeC,34.65,1.18,9.08,10.08,29.08,31.08,0.91,1.01,2.91,3.11,Sudden_Anomaly,50
C6041,L4,TypeA,34.01,1.1,13.09,13.09,13.09,13.09,1.31,1.31,1.31,1.31,High_Stable,50
C6042,L4,TypeB,31.92,1.04,10.92,12.92,15.92,20.92,1.09,1.29,1.59,2.09,Latent_Defect,50
C6043,L4,TypeA,33.38,1.26,10.73,11.73,12.73,13.73,1.07,1.17,1.27,1.37,Normal,50
C6044,L4,TypeA,28.96,1.1,13.47,14.47,15.47,16.47,1.35,1.45,1.55,1.65,Normal,50
C6045,L4,TypeB,29.56,1.16,9.76,11.76,14.76,19.76,0.98,1.18,1.48,1.98,Latent_Defect,50
