component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA
C18001,L10,TypeA,26.8,1.03,14.61,15.61,34.61,36.61,1.46,1.56,3.46,3.66,Sudden_Anomaly,50
C18002,L10,TypeA,30.26,1.24,9.89,9.89,9.89,9.89,0.99,0.99,0.99,0.99,High_Stable,50
C18003,L10,TypeB,31.75,1.1,13.48,14.48,33.48,35.48,1.35,1.45,3.35,3.55,Sudden_Anomaly,50
C18004,L10,TypeB,32.97,1.01,14.83,15.83,16.83,60.0,1.48,1.58,1.68,6.0,Absolute_Failure,50
C18005,L10,TypeA,25.38,1.13,12.22,13.22,14.22,60.0,1.22,1.32,1.42,6.0,Absolute_Failure,50
C18006,L10,TypeA,33.85,1.28,9.54,10.54,11.54,12.54,0.95,1.05,1.15,1.25,Normal,50
C18007,L10,TypeA,33.46,1.18,10.24,10.24,10.24,10.24,1.02,1.02,1.02,1.02,High_Stable,50
C18008,L10,TypeB,31.08,1.01,8.27,10.27,13.27,18.27,0.83,1.03,1.33,1.83,Latent_Defect,50
C18009,L10,TypeC,30.08,1.11,11.83,12.83,13.83,60.0,1.18,1.28,1.38,6.0,Absolute_Failure,50
C18010,L10,TypeA,26.07,1.03,10.72,11.72,30.72,32.72,1.07,1.17,3.07,3.27,Sudden_Anomaly,50
C18011,L10,TypeA,29.89,1.23,10.25,11.25,12.25,13.25,1.03,1.13,1.23,1.33,Normal,50
C18012,L10,TypeC,29.47,1.0,11.6,11.6,11.6,11.6,1.16,1.16,1.16,1.16,High_Stable,50
C18013,L10,TypeA,27.04,1.02,8.75,9.75,10.75,60.0,0.87,0.97,1.07,6.0,Absolute_Failure,50
C18014,L10,TypeA,30.37,1.0,12.66,13.66,14.66,15.66,1.27,1.37,1.47,1.57,Normal,50
C18015,L10,TypeA,25.97,1.14,14.69,14.69,14.69,14.69,1.47,1.47,1.47,1.47,High_Stable,50
C18016,L10,TypeB,26.19,1.0,10.77,11.77,30.77,32.77,1.08,1.18,3.08,3.28,Sudden_Anomaly,50
C18017,L10,TypeA,28.71,1.05,8.58,9.58,10.58,11.58,0.86,0.96,1.06,1.16,Normal,50
C18018,L10,TypeA,31.63,1.05,11.4,11.4,11.4,11.4,1.14,1.14,1.14,1.14,High_Stable,50
C18019,L10,TypeB,30.82,1.11,8.02,8.02,8.02,8.02,0.8,0.8,0.8,0.8,High_Stable,50
C18020,L10,TypeC,33.02,1.11,14.07,14.07,14.07,14.07,1.41,1.41,1.41,1.41,High_Stable,50
