component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA
C8001,L5,TypeB,28.84,1.04,9.02,10.02,29.02,31.02,0.9,1.0,2.9,3.1,Sudden_Anomaly,50
C8002,L5,TypeB,33.88,1.01,12.34,12.34,12.34,12.34,1.23,1.23,1.23,1.23,High_Stable,50
C8003,L5,TypeC,30.58,1.06,13.82,14.82,15.82,60.0,1.38,1.48,1.58,6.0,Absolute_Failure,50
C8004,L5,TypeA,31.75,1.07,8.63,10.63,13.63,18.63,0.86,1.06,1.36,1.86,Latent_Defect,50
C8005,L5,TypeA,31.57,1.27,8.88,10.88,13.88,18.88,0.89,1.09,1.39,1.89,Latent_Defect,50
C8006,L5,TypeA,33.82,1.09,10.22,11.22,12.22,60.0,1.02,1.12,1.22,6.0,Absolute_Failure,50
C8007,L5,TypeC,26.83,1.18,9.19,11.19,14.19,19.19,0.92,1.12,1.42,1.92,Latent_Defect,50
C8008,L5,TypeB,30.9,1.3,12.18,13.18,14.18,60.0,1.22,1.32,1.42,6.0,Absolute_Failure,50
C8009,L5,TypeA,32.03,1.07,8.87,9.87,10.87,60.0,0.89,0.99,1.09,6.0,Absolute_Failure,50
C8010,L5,TypeB,33.21,1.25,9.02,10.02,29.02,31.02,0.9,1.0,2.9,3.1,Sudden_Anomaly,50
C8011,L5,TypeA,34.05,1.28,10.23,12.23,15.23,20.23,1.02,1.22,1.52,2.02,Latent_Defect,50
C8012,L5,TypeB,32.94,1.26,12.78,13.78,14.78,60.0,1.28,1.38,1.48,6.0,Absolute_Failure,50
C8013,L5,TypeC,31.08,1.11,10.85,11.85,12.85,13.85,1.09,1.19,1.29,1.39,Normal,50
C8014,L5,TypeB,33.59,1.04,9.81,10.81,11.81,12.81,0.98,1.08,1.18,1.28,Normal,50
C8015,L5,TypeB,34.6,1.22,12.76,13.76,32.76,34.76,1.28,1.38,3.28,3.48,Sudden_Anomaly,50
C8016,L5,TypeB,27.43,1.17,10.22,10.22,10.22,10.22,1.02,1.02,1.02,1.02,High_Stable,50
C8017,L5,TypeA,25.14,1.14,12.51,13.51,14.51,60.0,1.25,1.35,1.45,6.0,Absolute_Failure,50
C8018,L5,TypeB,31.26,1.16,13.51,13.51,13.51,13.51,1.35,1.35,1.35,1.35,High_Stable,50
C8019,L5,TypeA,32.42,1.04,13.28,15.28,18.28,23.28,1.33,1.53,1.83,2.33,Latent_Defect,50
C8020,L5,TypeA,29.8,1.06,8.29,10.29,13.29,18.29,0.83,1.03,1.33,1.83,Latent_Defect,50
C8021,L5,TypeA,31.14,1.05,9.7,10.7,29.7,31.7,0.97,1.07,2.97,3.17,Sudden_Anomaly,50
C8022,L5,TypeB,31.9,1.13,12.41,14.41,17.41,22.41,1.24,1.44,1.74,2.24,Latent_Defect,50
C8023,L5,TypeA,26.75,1.25,10.04,11.04,12.04,13.04,1.0,1.1,1.2,1.3,Normal,50
C8024,L5,TypeC,26.62,1.08,8.37,9.37,28.37,30.37,0.84,0.94,2.84,3.04,Sudden_Anomaly,50
C8025,L5,TypeC,25.65,1.27,13.08,14.08,15.08,16.08,1.31,1.41,1.51,1.61,Normal,50
C8026,L5,TypeA,33.21,1.06,8.02,9.02,10.02,11.02,0.8,0.9,1.0,1.1,Normal,50
C8027,L5,TypeC,25.27,1.24,12.05,13.05,32.05,34.05,1.21,1.31,3.21,3.41,Sudden_Anomaly,50
C8028,L5,TypeB,34.08,1.21,8.03,10.03,13.03,18.03,0.8,1.0,1.3,1.8,Latent_Defect,50
C8029,L5,TypeC,33.99,1.19,11.55,12.55,31.55,33.55,1.16,1.26,3.16,3.36,Sudden_Anomaly,50
C8030,L5,TypeA,25.58,1.29,13.58,14.58,33.58,35.58,1.36,1.46,3.36,3.56,Sudden_Anomaly,50
C8031,L5,TypeB,29.82,1.02,9.5,10.5,11.5,60.0,0.95,1.05,1.15,6.0,Absolute_Failure,50
C8032,L5,TypeB,25.23,1.22,11.49,12.49,13.49,14.49,1.15,1.25,1.35,1.45,Normal,50
C8033,L5,TypeA,34.71,1.14,11.68,13.68,16.68,21.68,1.17,1.37,1.67,2.17,Latent_Defect,50
