component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,absolute_limit_uA,ground_truth,static_pass_168h,drift_0_24_uA_per_h,drift_24_96_uA_per_h,drift_96_168_uA_per_h,overall_drift_uA_per_h,lot_baseline_mean_uA,lot_baseline_std_uA,iddq_24h_zscore,iddq_96h_zscore,iddq_168h_zscore,lot_median_0h,lot_mean_0h,lot_std_0h,Q1_0h,Q3_0h,IQR_0h,iqr_lower_0h,iqr_upper_0h,lot_median_24h,lot_mean_24h,lot_std_24h,Q1_24h,Q3_24h,IQR_24h,iqr_lower_24h,iqr_upper_24h,lot_median_96h,lot_mean_96h,lot_std_96h,Q1_96h,Q3_96h,IQR_96h,iqr_lower_96h,iqr_upper_96h,lot_median_168h,lot_mean_168h,lot_std_168h,Q1_168h,Q3_168h,IQR_168h,iqr_lower_168h,iqr_upper_168h,zscore_0h,robust_zscore_0h,z_anomaly_0h,robust_z_anomaly_0h,iqr_anomaly_0h,zscore_24h,robust_zscore_24h,z_anomaly_24h,robust_z_anomaly_24h,iqr_anomaly_24h,zscore_96h,robust_zscore_96h,z_anomaly_96h,robust_z_anomaly_96h,iqr_anomaly_96h,zscore_168h,robust_zscore_168h,z_anomaly_168h,robust_z_anomaly_168h,iqr_anomaly_168h,statistical_anomaly_0h,statistical_anomaly_24h,statistical_anomaly_96h,statistical_anomaly_168h,abnormal_timepoint_count,statistical_anomaly,drift_0_24,drift_24_96,drift_96_168,overall_drift,drift_mean,drift_median,drift_std,drift_zscore,robust_drift_zscore,drift_anomaly,isolation_prediction,isolation_anomaly,raw_anomaly_score,anomaly_score,absolute_limit_exceeded,statistical_evidence,drift_evidence,isolation_evidence,anomaly_evidence_count,repeated_statistical_anomaly,dynamic_anomaly,combined_anomaly,latent_risk_flag,anomaly_severity,screening_status,explanation,risk_score,actual_anomaly,predicted_anomaly
C080205,LOT-008,IC_A,123.39,3.333,8.832,9.124,9.161,9.883,50.0,Normal,True,0.0121666666666666,0.0005138888888888,0.0100277777777777,0.0062559523809523,11.11735,3.879569242391869,-0.5138070428589748,-0.5042699015713025,-0.3181667661740167,9.967500000000001,11.11735,3.87956924239187,9.286,10.72925,1.4432500000000008,7.121124999999998,12.894125000000003,10.2015,11.827202,5.381122793454213,9.43075,11.20775,1.777000000000001,6.765249999999998,13.873250000000002,10.485,13.34015,8.469977704109747,9.693999999999999,11.49625,1.8022500000000008,6.990624999999998,14.199625000000001,10.862,15.918882,12.978411671661298,9.998999999999999,12.152999999999999,2.154,6.767999999999999,15.383999999999999,-0.5890731308589849,-1.048452772073921,False,False,False,-0.5023490642674553,-0.8520208089097296,False,False,False,-0.4934074381296447,-0.9873278054173579,False,False,False,-0.46507093107390846,-0.6489783783783789,False,False,False,False,False,False,False,0,False,0.012166666666666659,0.0005138888888888755,0.010027777777777771,0.006255952380952372,0.028580547619047617,0.004869047619047619,0.06520208401494722,-0.34239082347394684,0.4733689759036114,False,1,False,-0.1940368504300728,0.12408998232450026,False,0,0,0,0,False,False,False,False,NORMAL,PASS,No significant abnormal behavior detected relative to the lot baseline.,6.204499116225013,0,0
C090032,LOT-009,IC_A,124.73,3.292,10.919,10.827,11.126,11.474,50.0,Normal,True,-0.0038333333333333,0.0041527777777777,0.0048333333333333,0.0033035714285714,11.39196,3.751426574663322,-0.1505987092525468,-0.0708956965321569,0.0218690139250196,10.3285,11.39196,3.751426574663321,9.4755,11.23425,1.7587499999999991,6.8373750000000015,13.872374999999998,10.6065,12.16783,5.313678043860731,9.653500000000001,11.690750000000001,2.0372500000000002,6.597625000000001,14.746625000000002,10.9585,13.869462,8.61426792573511,10.00325,12.20975,2.2065,6.693499999999999,15.5195,11.3595,16.546954000000003,13.03518010249544,10.351750000000001,12.7235,2.3717499999999987,6.794125000000003,16.281124999999996,-0.12607470533858053,0.45157851473922905,False,False,False,-0.25233557414137203,0.14652931034482727,False,False,False,-0.3184788334483901,0.10603355232285225,False,False,False,-0.3891740628139723,0.06669278929188231,False,False,False,False,False,False,False,0,False,-0.0038333333333333552,0.004152777777777771,0.004833333333333344,0.003303571428571427,0.030684488095238095,0.005080357142857145,0.06668928611004421,-0.4105744455186599,-0.5861375545851546,False,1,False,-0.2339503805276021,0.029840529729208008,False,0,0,0,0,False,False,False,False,NORMAL,PASS,No significant abnormal behavior detected relative to the lot baseline.,1.4920264864604005,0,0
C030009,LOT-003,IC_A,125.39,3.3,10.112,9.924,10.246,10.415,50.0,Normal,True,-0.0078333333333333,0.0044722222222222,0.0023472222222222,0.0018035714285714,11.715506,3.855729485024512,-0.4646347745499606,-0.3811226917519752,-0.3372918159977535,10.584,11.715506,3.8557294850245074,9.91425,11.36375,1.4495000000000005,7.739999999999998,13.538,10.782499999999999,12.469172,5.244015926414503,10.08825,11.863499999999998,1.775249999999998,7.425375000000003,14.526374999999994,11.0725,14.064358,8.173201335460664,10.35875,12.162749999999999,1.8039999999999985,7.652750000000003,14.868749999999997,11.3885,16.510878,12.46377983223905,10.6935,12.61325,1.9197500000000005,7.8138749999999995,15.492875000000002,-0.415876167202069,-0.44155894590846,False,False,False,-0.4853478776026933,-0.6893550595238092,False,False,False,-0.467180220244114,-0.654696711685261,False,False,False,-0.489087426290401,-0.7037789389067535,False,False,False,False,False,False,False,0,False,-0.007833333333333359,0.004472222222222235,0.002347222222222204,0.0018035714285714228,0.028543880952380953,0.004752976190476189,0.06427252454791912,-0.4160457320121755,-1.0236286370597256,False,1,False,-0.2216419387677439,0.05890495713848592,False,0,0,0,0,False,False,False,False,NORMAL,PASS,No significant abnormal behavior detected relative to the lot baseline.,2.9452478569242957,0,0
C070361,LOT-007,IC_A,125.27,3.298,21.385,21.522,21.87,22.122,50.0,High_Stable,True,0.0057083333333332,0.0048333333333333,0.0034999999999999,0.0043869047619047,10.989696,3.957974929515009,2.6610335304197026,2.7489572808722214,2.8126262036136995,10.046,10.989696,3.9579749295150077,9.02375,11.07525,2.0515000000000008,5.946499999999999,14.152500000000002,10.3015,11.62865,5.25566505723945,9.15775,11.4265,2.2687500000000007,5.754624999999999,14.829625000000002,10.6095,13.153039999999999,8.16425873572167,9.45575,12.021,2.5652500000000007,5.607874999999999,15.868875000000003,10.946,15.544272000000001,12.331391333278049,9.750250000000001,12.554499999999999,2.804249999999998,5.543875000000004,16.760874999999995,2.6264198700404084,7.439839980544745,False,True,True,1.882416381609467,6.632977432077124,False,True,True,1.06769766639806,5.989911080441642,False,True,True,0.5334132882677274,5.669960135389246,False,True,True,True,True,True,True,4,True,0.005708333333333204,0.004833333333333368,0.0034999999999999845,0.004386904761904752,0.02711057142857143,0.004520833333333333,0.06194847594753236,-0.36681558858546615,-0.05041943521595068,False,1,False,-0.08064391707447316,0.39184935792533887,False,1,0,0,1,True,False,False,False,LOW,PASS,"Value outside lot IQR range at 0h, 24h, 96h, 168h",49.59246789626694,1,0
C020417,LOT-002,IC_A,126.07,3.267,8.734,8.865,9.316,9.797,50.0,Normal,True,0.0054583333333333,0.0062638888888888,0.0066805555555555,0.0063273809523809,11.022252,4.154165292215281,-0.5192985469409686,-0.4107328139295368,-0.2949454135337528,9.6455,11.022252,4.154165292215282,8.91775,10.629,1.7112499999999997,6.350875,13.195875,9.8125,11.591544,5.284089061938017,9.086,10.92975,1.84375,6.320375,13.695375,10.163,12.881612,7.555713183868868,9.3555,11.324,1.9685000000000006,6.402749999999998,14.27675,10.5,15.020358,11.309512057546755,9.6845,12.00425,2.319750000000001,6.204874999999999,15.483875000000001,-0.5508331611859741,-0.738506606606607,False,False,False,-0.5159913029550642,-0.7358534830166953,False,False,False,-0.47190939005101895,-0.6084148029818952,False,False,False,-0.4618552925556581,-0.4621574074074071,False,False,False,False,False,False,False,0,False,0.005458333333333343,0.006263888888888896,0.006680555555555554,0.006327380952380956,0.02379825,0.00461309523809524,0.05676361398581973,-0.30778288803076365,0.6186496815286645,False,1,False,-0.20744729378713556,0.09242335343011496,False,0,0,0,0,False,False,False,False,NORMAL,PASS,No significant abnormal behavior detected relative to the lot baseline.,4.621167671505748,0,0
C080259,LOT-008,IC_A,123.37,3.328,11.508,11.571,12.178,12.79,50.0,Normal,True,0.002625,0.0084305555555555,0.0084999999999999,0.0076309523809523,11.11735,3.879569242391869,0.1169330850041256,0.2733937542370241,0.4311432263466345,9.967500000000001,11.11735,3.87956924239187,9.286,10.72925,1.4432500000000008,7.121124999999998,12.894125000000003,10.2015,11.827202,5.381122793454213,9.43075,11.20775,1.777000000000001,6.765249999999998,13.873250000000002,10.485,13.34015,8.469977704109747,9.693999999999999,11.49625,1.8022500000000008,6.990624999999998,14.199625000000001,10.862,15.918882,12.978411671661298,9.998999999999999,12.152999999999999,2.154,6.767999999999999,15.383999999999999,0.10069416875754786,1.42240554414784,False,False,False,-0.047611253233554376,1.0829164712778436,False,False,False,-0.1372081533858239,1.262496959646215,False,False,False,-0.2410835839667497,1.2780697788697781,False,False,False,False,False,False,False,0,False,0.0026250000000000253,0.008430555555555571,0.008499999999999976,0.0076309523809523815,0.028580547619047617,0.004869047619047619,0.06520208401494722,-0.3213025404723668,0.9426746987951812,False,1,False,-0.2032640342683012,0.10230145538578712,False,0,0,0,0,False,False,False,False,NORMAL,PASS,No significant abnormal behavior detected relative to the lot baseline.,5.115072769289356,0,0
C020058,LOT-002,IC_A,125.92,3.271,9.092,9.133,9.604,9.867,50.0,Normal,True,0.0017083333333332,0.0065416666666666,0.0036527777777778,0.0046130952380952,11.022252,4.154165292215281,-0.4547849849740871,-0.3414048070397538,-0.2780948563035971,9.6455,11.022252,4.154165292215282,8.91775,10.629,1.7112499999999997,6.350875,13.195875,9.8125,11.591544,5.284089061938017,9.086,10.92975,1.84375,6.320375,13.695375,10.163,12.881612,7.555713183868868,9.3555,11.324,1.9685000000000006,6.402749999999998,14.27675,10.5,15.020358,11.309512057546755,9.6845,12.00425,2.319750000000001,6.204874999999999,15.483875000000001,-0.464654597066035,-0.4484513513513513,False,False,False,-0.4652730056556417,-0.5277176165803116,False,False,False,-0.4337925382077189,-0.401539403620874,False,False,False,-0.45566581243982146,-0.4161388888888884,False,False,False,False,False,False,False,0,False,0.0017083333333332746,0.006541666666666668,0.003652777777777801,0.00461309523809524,0.02379825,0.00461309523809524,0.05676361398581973,-0.337983320912186,0.0,False,1,False,-0.2228958882815989,0.055943954817363695,False,0,0,0,0,False,False,False,False,NORMAL,PASS,No significant abnormal behavior detected relative to the lot baseline.,2.7971977408681847,0,0
C030132,LOT-003,IC_A,125.67,3.306,9.123,8.992,9.002,9.347,50.0,Normal,True,-0.0054583333333332,0.0001388888888888,0.0047916666666666,0.0013333333333333,11.715506,3.855729485024512,-0.7063529769341909,-0.7037594339901541,-0.6142822024208845,10.584,11.715506,3.8557294850245074,9.91425,11.36375,1.4495000000000005,7.739999999999998,13.538,10.782499999999999,12.469172,5.244015926414503,10.08825,11.863499999999998,1.775249999999998,7.425375000000003,14.526374999999994,11.0725,14.064358,8.173201335460664,10.35875,12.162749999999999,1.8039999999999985,7.652750000000003,14.868749999999997,11.3885,16.510878,12.46377983223905,10.6935,12.61325,1.9197500000000005,7.8138749999999995,15.492875000000002,-0.6723775643673099,-1.3667746185852983,False,False,False,-0.6630742638452378,-1.4377288690476178,False,False,False,-0.6193849621734139,-1.6401083382266586,False,False,False,-0.5747757178339896,-1.4758754019292615,False,False,False,False,False,False,False,0,False,-0.005458333333333269,0.00013888888888888593,0.004791666666666651,0.0013333333333333346,0.028543880952380953,0.004752976190476189,0.06427252454791912,-0.4233620479425929,-1.1868307810107186,False,1,False,-0.18486453550709553,0.14574894504741287,False,0,0,0,0,False,False,False,False,NORMAL,PASS,No significant abnormal behavior detected relative to the lot baseline.,7.287447252370644,0,0
C060219,LOT-006,IC_A,127.4,3.309,10.797,13.779,18.263,43.957,50.0,Latent_Defect,True,0.1242499999999999,0.0622777777777778,0.3568611111111111,0.1973809523809523,11.337624,3.811839389807939,0.6404718956752818,1.81680687242936,8.557384680796728,10.1735,11.337624,3.811839389807941,9.612,10.955,1.343,7.5975,12.9695,10.4345,11.95903,4.883298366367751,9.8285,11.264,1.4354999999999993,7.675250000000001,13.41725,10.7835,13.441048,7.6368969884974796,10.11275,11.722000000000001,1.6092500000000012,7.698874999999998,14.135875000000002,11.081,16.00413,12.244277974602618,10.42575,12.1975,1.771749999999999,7.768125000000002,14.855124999999997,-0.1418275915416359,0.6612433176100618,False,False,False,0.37269277104477083,3.220364382583869,False,True,True,0.6314019957664371,6.735544392523361,False,True,True,2.282933306315042,26.976717761557182,False,True,True,False,True,True,True,3,True,0.12424999999999997,0.0622777777777778,0.3568611111111111,0.19738095238095235,0.02777682142857143,0.004863095238095239,0.06367632640736502,2.663535108281057,70.14583118971039,True,-1,True,0.028291629674132568,0.6490833240550475,False,1,1,1,3,True,True,True,True,HIGH,REVIEW,"Value outside lot IQR range at 24h, 96h, 168h; Unusually high positive burn-in drift; Isolation Forest detected unusual multi-feature behavior; Dynamic anomaly detected while remaining below the absolute specification limit",82.45416620275238,1,1
C080488,LOT-008,IC_A,123.3,3.338,20.095,20.472,20.946,21.257,50.0,High_Stable,True,0.0157083333333334,0.0065833333333333,0.0043194444444444,0.0069166666666666,11.11735,3.879569242391869,2.4112599661277296,2.5334384788400754,2.6136020177715933,9.967500000000001,11.11735,3.87956924239187,9.286,10.72925,1.4432500000000008,7.121124999999998,12.894125000000003,10.2015,11.827202,5.381122793454213,9.43075,11.20775,1.777000000000001,6.765249999999998,13.873250000000002,10.485,13.34015,8.469977704109747,9.693999999999999,11.49625,1.8022500000000008,6.990624999999998,14.199625000000001,10.862,15.918882,12.978411671661298,9.998999999999999,12.152999999999999,2.154,6.767999999999999,15.383999999999999,2.3140842292236057,9.351127652292934,False,True,True,1.6065045032081107,8.12128048065651,False,True,True,0.8979775703907157,7.800933665008297,False,True,True,0.4113074954815867,6.8908378378378385,False,True,True,True,True,True,True,4,True,0.015708333333333435,0.006583333333333336,0.0043194444444444435,0.006916666666666682,0.028580547619047617,0.004869047619047619,0.06520208401494722,-0.3322574926809795,0.6988795180722945,False,1,False,-0.06550624572328023,0.42759456099134596,False,1,0,0,1,True,False,False,False,LOW,PASS,"Value outside lot IQR range at 0h, 24h, 96h, 168h",51.3797280495673,1,0
