component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA
C16001,L9,TypeB,31.69,1.27,14.99,15.99,34.99,36.99,1.5,1.6,3.5,3.7,Sudden_Anomaly,50
C16002,L9,TypeC,33.96,1.24,14.96,14.96,14.96,14.96,1.5,1.5,1.5,1.5,High_Stable,50
C16003,L9,TypeB,27.52,1.17,11.0,12.0,13.0,60.0,1.1,1.2,1.3,6.0,Absolute_Failure,50
C16004,L9,TypeA,31.1,1.13,12.05,13.05,14.05,60.0,1.2,1.3,1.4,6.0,Absolute_Failure,50
C16005,L9,TypeA,30.52,1.28,13.36,13.36,13.36,13.36,1.34,1.34,1.34,1.34,High_Stable,50
C16006,L9,TypeB,34.12,1.12,10.99,11.99,30.99,32.99,1.1,1.2,3.1,3.3,Sudden_Anomaly,50
C16007,L9,TypeC,32.11,1.27,10.07,12.07,15.07,20.07,1.01,1.21,1.51,2.01,Latent_Defect,50
C16008,L9,TypeA,25.4,1.23,13.32,14.32,15.32,16.32,1.33,1.43,1.53,1.63,Normal,50
C16009,L9,TypeA,33.22,1.05,13.69,14.69,15.69,16.69,1.37,1.47,1.57,1.67,Normal,50
C16010,L9,TypeC,34.72,1.29,9.89,10.89,11.89,12.89,0.99,1.09,1.19,1.29,Normal,50
C16011,L9,TypeC,32.99,1.11,12.54,12.54,12.54,12.54,1.25,1.25,1.25,1.25,High_Stable,50
C16012,L9,TypeB,34.0,1.28,14.7,15.7,16.7,60.0,1.47,1.57,1.67,6.0,Absolute_Failure,50
C16013,L9,TypeB,33.12,1.21,12.16,14.16,17.16,22.16,1.22,1.42,1.72,2.22,Latent_Defect,50
C16014,L9,TypeB,32.28,1.14,10.78,11.78,12.78,13.78,1.08,1.18,1.28,1.38,Normal,50
C16015,L9,TypeB,29.86,1.06,8.43,10.43,13.43,18.43,0.84,1.04,1.34,1.84,Latent_Defect,50
C16016,L9,TypeA,27.68,1.29,13.21,13.21,13.21,13.21,1.32,1.32,1.32,1.32,High_Stable,50
C16017,L9,TypeA,27.57,1.08,10.6,11.6,12.6,13.6,1.06,1.16,1.26,1.36,Normal,50
C16018,L9,TypeA,25.37,1.11,8.23,10.23,13.23,18.23,0.82,1.02,1.32,1.82,Latent_Defect,50
C16019,L9,TypeB,27.46,1.13,13.58,14.58,15.58,16.58,1.36,1.46,1.56,1.66,Normal,50
C16020,L9,TypeC,32.36,1.08,9.25,10.25,29.25,31.25,0.92,1.02,2.92,3.12,Sudden_Anomaly,50
C16021,L9,TypeC,34.59,1.01,12.35,14.35,17.35,22.35,1.24,1.44,1.74,2.24,Latent_Defect,50
C16022,L9,TypeA,32.03,1.07,14.16,15.16,34.16,36.16,1.42,1.52,3.42,3.62,Sudden_Anomaly,50
C16023,L9,TypeC,27.88,1.23,10.66,11.66,12.66,60.0,1.07,1.17,1.27,6.0,Absolute_Failure,50
C16024,L9,TypeA,27.57,1.13,14.8,15.8,34.8,36.8,1.48,1.58,3.48,3.68,Sudden_Anomaly,50
C16025,L9,TypeA,28.63,1.04,8.83,9.83,10.83,60.0,0.88,0.98,1.08,6.0,Absolute_Failure,50
C16026,L9,TypeA,28.34,1.23,8.22,9.22,10.22,60.0,0.82,0.92,1.02,6.0,Absolute_Failure,50
C16027,L9,TypeC,31.63,1.15,8.94,10.94,13.94,18.94,0.89,1.09,1.39,1.89,Latent_Defect,50
C16028,L9,TypeA,25.25,1.08,12.34,13.34,14.34,60.0,1.23,1.33,1.43,6.0,Absolute_Failure,50
C16029,L9,TypeB,29.5,1.05,12.49,12.49,12.49,12.49,1.25,1.25,1.25,1.25,High_Stable,50
C16030,L9,TypeA,30.93,1.07,9.0,11.0,14.0,19.0,0.9,1.1,1.4,1.9,Latent_Defect,50
C16031,L9,TypeB,30.5,1.25,11.25,12.25,13.25,60.0,1.13,1.23,1.33,6.0,Absolute_Failure,50
C16032,L9,TypeC,32.42,1.05,13.45,15.45,18.45,23.45,1.34,1.54,1.84,2.34,Latent_Defect,50
C16033,L9,TypeC,29.44,1.01,8.52,8.52,8.52,8.52,0.85,0.85,0.85,0.85,High_Stable,50
C16034,L9,TypeC,30.13,1.2,14.37,15.37,16.37,60.0,1.44,1.54,1.64,6.0,Absolute_Failure,50
C16035,L9,TypeC,29.6,1.11,10.75,12.75,15.75,20.75,1.07,1.27,1.57,2.07,Latent_Defect,50
C16036,L9,TypeA,29.24,1.13,8.18,8.18,8.18,8.18,0.82,0.82,0.82,0.82,High_Stable,50
C16037,L9,TypeC,29.56,1.02,13.46,13.46,13.46,13.46,1.35,1.35,1.35,1.35,High_Stable,50
C16038,L9,TypeB,27.65,1.13,14.67,14.67,14.67,14.67,1.47,1.47,1.47,1.47,High_Stable,50
C16039,L9,TypeA,26.76,1.02,8.79,10.79,13.79,18.79,0.88,1.08,1.38,1.88,Latent_Defect,50
C16040,L9,TypeC,32.82,1.24,9.95,10.95,29.95,31.95,1.0,1.1,3.0,3.2,Sudden_Anomaly,50
C16041,L9,TypeC,25.67,1.2,14.22,15.22,16.22,60.0,1.42,1.52,1.62,6.0,Absolute_Failure,50
C16042,L9,TypeA,31.54,1.04,11.29,12.29,13.29,14.29,1.13,1.23,1.33,1.43,Normal,50
C16043,L9,TypeC,27.28,1.12,11.45,12.45,13.45,14.45,1.14,1.24,1.34,1.44,Normal,50
C16044,L9,TypeB,32.53,1.02,14.74,15.74,16.74,60.0,1.47,1.57,1.67,6.0,Absolute_Failure,50
C16045,L9,TypeA,33.94,1.06,10.2,11.2,30.2,32.2,1.02,1.12,3.02,3.22,Sudden_Anomaly,50
C16046,L9,TypeC,26.1,1.08,13.07,13.07,13.07,13.07,1.31,1.31,1.31,1.31,High_Stable,50
C16047,L9,TypeC,29.64,1.29,9.07,11.07,14.07,19.07,0.91,1.11,1.41,1.91,Latent_Defect,50
C16048,L9,TypeB,27.41,1.23,13.89,15.89,18.89,23.89,1.39,1.59,1.89,2.39,Latent_Defect,50
C16049,L9,TypeC,27.01,1.29,9.15,10.15,29.15,31.15,0.92,1.02,2.92,3.12,Sudden_Anomaly,50
C16050,L9,TypeB,33.89,1.24,13.35,14.35,33.35,35.35,1.33,1.43,3.33,3.53,Sudden_Anomaly,50
C16051,L9,TypeB,25.79,1.0,12.31,13.31,14.31,15.31,1.23,1.33,1.43,1.53,Normal,50
C16052,L9,TypeB,27.1,1.23,8.62,8.62,8.62,8.62,0.86,0.86,0.86,0.86,High_Stable,50
C16053,L9,TypeA,34.29,1.21,9.12,10.12,11.12,12.12,0.91,1.01,1.11,1.21,Normal,50
C16054,L9,TypeC,25.34,1.26,9.23,9.23,9.23,9.23,0.92,0.92,0.92,0.92,High_Stable,50
C16055,L9,TypeC,30.96,1.18,12.94,13.94,14.94,60.0,1.29,1.39,1.49,6.0,Absolute_Failure,50
C16056,L9,TypeB,32.51,1.29,14.79,16.79,19.79,24.79,1.48,1.68,1.98,2.48,Latent_Defect,50
C16057,L9,TypeB,33.76,1.22,10.22,12.22,15.22,20.22,1.02,1.22,1.52,2.02,Latent_Defect,50
C16058,L9,TypeB,34.53,1.28,13.57,13.57,13.57,13.57,1.36,1.36,1.36,1.36,High_Stable,50
C16059,L9,TypeA,27.09,1.01,13.06,13.06,13.06,13.06,1.31,1.31,1.31,1.31,High_Stable,50
C16060,L9,TypeB,30.78,1.0,9.14,10.14,11.14,60.0,0.91,1.01,1.11,6.0,Absolute_Failure,50
C16061,L9,TypeC,25.75,1.09,10.3,11.3,12.3,13.3,1.03,1.13,1.23,1.33,Normal,50
C16062,L9,TypeA,32.17,1.11,10.12,11.12,30.12,32.12,1.01,1.11,3.01,3.21,Sudden_Anomaly,50
C16063,L9,TypeC,26.46,1.18,8.25,9.25,28.25,30.25,0.82,0.92,2.82,3.02,Sudden_Anomaly,50
C16064,L9,TypeB,29.63,1.22,12.27,12.27,12.27,12.27,1.23,1.23,1.23,1.23,High_Stable,50
C16065,L9,TypeA,34.56,1.21,10.6,11.6,12.6,13.6,1.06,1.16,1.26,1.36,Normal,50
C16066,L9,TypeA,31.06,1.2,12.61,12.61,12.61,12.61,1.26,1.26,1.26,1.26,High_Stable,50
C16067,L9,TypeB,33.66,1.15,10.43,11.43,12.43,60.0,1.04,1.14,1.24,6.0,Absolute_Failure,50
C16068,L9,TypeA,26.28,1.1,11.77,12.77,31.77,33.77,1.18,1.28,3.18,3.38,Sudden_Anomaly,50
C16069,L9,TypeB,33.08,1.3,11.55,12.55,31.55,33.55,1.15,1.25,3.15,3.35,Sudden_Anomaly,50
C16070,L9,TypeC,27.82,1.02,13.11,15.11,18.11,23.11,1.31,1.51,1.81,2.31,Latent_Defect,50
C16071,L9,TypeC,29.84,1.04,8.58,8.58,8.58,8.58,0.86,0.86,0.86,0.86,High_Stable,50
C16072,L9,TypeA,31.17,1.04,12.1,13.1,14.1,15.1,1.21,1.31,1.41,1.51,Normal,50
C16073,L9,TypeB,29.31,1.12,9.03,10.03,29.03,31.03,0.9,1.0,2.9,3.1,Sudden_Anomaly,50
C16074,L9,TypeC,25.95,1.11,12.27,12.27,12.27,12.27,1.23,1.23,1.23,1.23,High_Stable,50
C16075,L9,TypeB,28.64,1.03,9.6,9.6,9.6,9.6,0.96,0.96,0.96,0.96,High_Stable,50
C16076,L9,TypeC,32.8,1.28,8.24,9.24,28.24,30.24,0.82,0.92,2.82,3.02,Sudden_Anomaly,50
C16077,L9,TypeB,31.21,1.27,11.49,12.49,13.49,60.0,1.15,1.25,1.35,6.0,Absolute_Failure,50
C16078,L9,TypeC,26.46,1.17,9.57,11.57,14.57,19.57,0.96,1.16,1.46,1.96,Latent_Defect,50
C16079,L9,TypeA,32.37,1.27,11.71,12.71,13.71,14.71,1.17,1.27,1.37,1.47,Normal,50
C16080,L9,TypeB,30.5,1.1,11.58,12.58,13.58,14.58,1.16,1.26,1.36,1.46,Normal,50
C16081,L9,TypeA,33.3,1.2,14.45,15.45,16.45,60.0,1.45,1.55,1.65,6.0,Absolute_Failure,50
C16082,L9,TypeA,34.52,1.26,12.31,13.31,14.31,15.31,1.23,1.33,1.43,1.53,Normal,50
C16083,L9,TypeC,28.67,1.13,9.49,10.49,11.49,12.49,0.95,1.05,1.15,1.25,Normal,50
C16084,L9,TypeA,25.41,1.04,12.4,14.4,17.4,22.4,1.24,1.44,1.74,2.24,Latent_Defect,50
C16085,L9,TypeB,34.68,1.21,10.46,11.46,12.46,60.0,1.05,1.15,1.25,6.0,Absolute_Failure,50
C16086,L9,TypeB,26.72,1.08,14.4,15.4,16.4,17.4,1.44,1.54,1.64,1.74,Normal,50
C16087,L9,TypeA,26.4,1.06,13.78,14.78,15.78,16.78,1.38,1.48,1.58,1.68,Normal,50
C16088,L9,TypeC,32.92,1.0,12.97,13.97,14.97,15.97,1.3,1.4,1.5,1.6,Normal,50
C16089,L9,TypeA,27.66,1.15,12.81,13.81,32.81,34.81,1.28,1.38,3.28,3.48,Sudden_Anomaly,50
C16090,L9,TypeA,33.62,1.05,8.1,9.1,28.1,30.1,0.81,0.91,2.81,3.01,Sudden_Anomaly,50
C16091,L9,TypeC,27.41,1.22,9.23,10.23,11.23,60.0,0.92,1.02,1.12,6.0,Absolute_Failure,50
C16092,L9,TypeA,30.88,1.02,12.98,13.98,14.98,15.98,1.3,1.4,1.5,1.6,Normal,50
C16093,L9,TypeB,32.57,1.13,8.29,8.29,8.29,8.29,0.83,0.83,0.83,0.83,High_Stable,50
C16094,L9,TypeA,34.29,1.24,8.81,9.81,10.81,60.0,0.88,0.98,1.08,6.0,Absolute_Failure,50
C16095,L9,TypeB,32.78,1.1,13.62,14.62,33.62,35.62,1.36,1.46,3.36,3.56,Sudden_Anomaly,50
C16096,L9,TypeA,26.59,1.27,10.09,10.09,10.09,10.09,1.01,1.01,1.01,1.01,High_Stable,50
C16097,L9,TypeB,33.39,1.05,8.6,9.6,28.6,30.6,0.86,0.96,2.86,3.06,Sudden_Anomaly,50
C16098,L9,TypeC,27.2,1.16,13.77,13.77,13.77,13.77,1.38,1.38,1.38,1.38,High_Stable,50
C16099,L9,TypeA,33.69,1.26,14.44,14.44,14.44,14.44,1.44,1.44,1.44,1.44,High_Stable,50
C16100,L9,TypeA,26.74,1.1,10.53,10.53,10.53,10.53,1.05,1.05,1.05,1.05,High_Stable,50
C16101,L9,TypeC,28.32,1.19,10.25,11.25,12.25,13.25,1.02,1.12,1.22,1.32,Normal,50
C16102,L9,TypeB,26.07,1.09,8.33,9.33,10.33,11.33,0.83,0.93,1.03,1.13,Normal,50
C16103,L9,TypeB,32.28,1.11,14.96,15.96,16.96,17.96,1.5,1.6,1.7,1.8,Normal,50
C16104,L9,TypeB,33.41,1.25,11.39,12.39,13.39,14.39,1.14,1.24,1.34,1.44,Normal,50
C16105,L9,TypeB,32.42,1.22,8.37,9.37,28.37,30.37,0.84,0.94,2.84,3.04,Sudden_Anomaly,50
C16106,L9,TypeC,31.55,1.23,9.59,10.59,11.59,12.59,0.96,1.06,1.16,1.26,Normal,50
C16107,L9,TypeC,31.14,1.21,11.5,13.5,16.5,21.5,1.15,1.35,1.65,2.15,Latent_Defect,50
C16108,L9,TypeB,32.86,1.29,13.05,14.05,15.05,60.0,1.3,1.4,1.5,6.0,Absolute_Failure,50
C16109,L9,TypeC,29.76,1.01,12.73,13.73,14.73,15.73,1.27,1.37,1.47,1.57,Normal,50
C16110,L9,TypeA,26.27,1.28,12.16,13.16,14.16,15.16,1.22,1.32,1.42,1.52,Normal,50
C16111,L9,TypeB,27.46,1.11,12.17,13.17,14.17,15.17,1.22,1.32,1.42,1.52,Normal,50
C16112,L9,TypeB,32.83,1.01,9.39,10.39,11.39,60.0,0.94,1.04,1.14,6.0,Absolute_Failure,50
C16113,L9,TypeA,30.38,1.18,9.65,9.65,9.65,9.65,0.97,0.97,0.97,0.97,High_Stable,50
C16114,L9,TypeC,30.64,1.1,11.58,12.58,13.58,14.58,1.16,1.26,1.36,1.46,Normal,50
C16115,L9,TypeC,31.2,1.26,9.93,10.93,29.93,31.93,0.99,1.09,2.99,3.19,Sudden_Anomaly,50
C16116,L9,TypeC,28.82,1.17,11.66,12.66,31.66,33.66,1.17,1.27,3.17,3.37,Sudden_Anomaly,50
C16117,L9,TypeC,33.23,1.19,8.92,8.92,8.92,8.92,0.89,0.89,0.89,0.89,High_Stable,50
C16118,L9,TypeB,34.95,1.12,14.51,15.51,34.51,36.51,1.45,1.55,3.45,3.65,Sudden_Anomaly,50
C16119,L9,TypeB,34.93,1.02,10.4,11.4,12.4,60.0,1.04,1.14,1.24,6.0,Absolute_Failure,50
C16120,L9,TypeC,31.66,1.28,10.0,11.0,12.0,60.0,1.0,1.1,1.2,6.0,Absolute_Failure,50
C16121,L9,TypeB,31.49,1.09,8.18,9.18,28.18,30.18,0.82,0.92,2.82,3.02,Sudden_Anomaly,50
C16122,L9,TypeC,32.86,1.07,9.69,9.69,9.69,9.69,0.97,0.97,0.97,0.97,High_Stable,50
C16123,L9,TypeA,25.63,1.02,9.43,10.43,29.43,31.43,0.94,1.04,2.94,3.14,Sudden_Anomaly,50
C16124,L9,TypeC,32.64,1.15,8.49,9.49,28.49,30.49,0.85,0.95,2.85,3.05,Sudden_Anomaly,50
