component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA
C1,L1,TypeA,28.41,1.01,11.05,12.05,13.05,14.05,1.1,1.2,1.3,1.4,Normal,50
C2,L1,TypeB,25.66,1.01,11.05,12.05,13.05,14.05,1.11,1.21,1.31,1.41,Normal,50
C3,L1,TypeA,29.83,1.16,8.41,9.41,10.41,11.41,0.84,0.94,1.04,1.14,Normal,50
C4,L1,TypeA,28.69,1.17,12.51,12.51,12.51,12.51,1.25,1.25,1.25,1.25,High_Stable,50
C5,L1,TypeA,25.31,1.16,9.81,10.81,11.81,12.81,0.98,1.08,1.18,1.28,Normal,50
C6,L1,TypeB,27.56,1.08,13.85,15.85,18.85,23.85,1.39,1.59,1.89,2.39,Latent_Defect,50
C7,L1,TypeC,32.53,1.3,10.79,12.79,15.79,20.79,1.08,1.28,1.58,2.08,Latent_Defect,50
C8,L1,TypeB,25.96,1.02,10.65,11.65,12.65,60.0,1.07,1.17,1.27,6.0,Absolute_Failure,50
C9,L1,TypeB,28.17,1.25,12.03,13.03,32.03,34.03,1.2,1.3,3.2,3.4,Sudden_Anomaly,50
C10,L1,TypeC,33.89,1.27,11.46,13.46,16.46,21.46,1.15,1.35,1.65,2.15,Latent_Defect,50
C11,L1,TypeA,30.79,1.14,14.66,15.66,16.66,60.0,1.47,1.57,1.67,6.0,Absolute_Failure,50
C12,L1,TypeB,26.71,1.24,11.39,12.39,13.39,14.39,1.14,1.24,1.34,1.44,Normal,50
C13,L1,TypeB,28.66,1.02,12.4,13.4,32.4,34.4,1.24,1.34,3.24,3.44,Sudden_Anomaly,50
C14,L1,TypeA,34.22,1.07,14.99,15.99,16.99,17.99,1.5,1.6,1.7,1.8,Normal,50
C15,L1,TypeB,33.94,1.01,8.9,9.9,28.9,30.9,0.89,0.99,2.89,3.09,Sudden_Anomaly,50
C16,L1,TypeC,28.72,1.29,13.67,15.67,18.67,23.67,1.37,1.57,1.87,2.37,Latent_Defect,50
C17,L1,TypeC,26.03,1.1,9.64,10.64,29.64,31.64,0.96,1.06,2.96,3.16,Sudden_Anomaly,50
C18,L1,TypeC,32.96,1.3,12.07,13.07,14.07,15.07,1.21,1.31,1.41,1.51,Normal,50
C19,L1,TypeB,31.79,1.03,10.77,10.77,10.77,10.77,1.08,1.08,1.08,1.08,High_Stable,50
C20,L1,TypeA,31.24,1.17,13.16,14.16,33.16,35.16,1.32,1.42,3.32,3.52,Sudden_Anomaly,50
C21,L1,TypeC,30.62,1.02,11.24,13.24,16.24,21.24,1.12,1.32,1.62,2.12,Latent_Defect,50
C22,L1,TypeA,26.69,1.29,14.7,15.7,34.7,36.7,1.47,1.57,3.47,3.67,Sudden_Anomaly,50
C23,L1,TypeC,31.54,1.09,12.09,13.09,14.09,60.0,1.21,1.31,1.41,6.0,Absolute_Failure,50
C24,L1,TypeC,26.31,1.18,11.46,12.46,31.46,33.46,1.15,1.25,3.15,3.35,Sudden_Anomaly,50
C25,L1,TypeB,27.24,1.13,11.53,12.53,31.53,33.53,1.15,1.25,3.15,3.35,Sudden_Anomaly,50
C26,L1,TypeC,27.92,1.17,11.24,12.24,31.24,33.24,1.12,1.22,3.12,3.32,Sudden_Anomaly,50
C27,L1,TypeA,31.17,1.03,9.5,10.5,29.5,31.5,0.95,1.05,2.95,3.15,Sudden_Anomaly,50
C28,L1,TypeA,34.19,1.16,11.68,12.68,31.68,33.68,1.17,1.27,3.17,3.37,Sudden_Anomaly,50
C29,L1,TypeA,28.28,1.25,13.3,15.3,18.3,23.3,1.33,1.53,1.83,2.33,Latent_Defect,50
C30,L1,TypeC,31.98,1.24,13.6,14.6,15.6,60.0,1.36,1.46,1.56,6.0,Absolute_Failure,50
C31,L1,TypeA,31.45,1.04,11.85,12.85,13.85,60.0,1.18,1.28,1.38,6.0,Absolute_Failure,50
C32,L1,TypeC,30.38,1.04,10.67,10.67,10.67,10.67,1.07,1.07,1.07,1.07,High_Stable,50
C33,L1,TypeB,33.41,1.21,11.38,13.38,16.38,21.38,1.14,1.34,1.64,2.14,Latent_Defect,50
C34,L1,TypeB,26.25,1.1,14.72,15.72,34.72,36.72,1.47,1.57,3.47,3.67,Sudden_Anomaly,50
C35,L1,TypeA,32.95,1.02,11.78,12.78,31.78,33.78,1.18,1.28,3.18,3.38,Sudden_Anomaly,50
C36,L1,TypeC,26.73,1.26,12.41,13.41,14.41,60.0,1.24,1.34,1.44,6.0,Absolute_Failure,50
C37,L1,TypeC,33.41,1.07,9.23,9.23,9.23,9.23,0.92,0.92,0.92,0.92,High_Stable,50
C38,L1,TypeA,30.51,1.12,12.2,13.2,14.2,60.0,1.22,1.32,1.42,6.0,Absolute_Failure,50
C39,L1,TypeB,32.14,1.11,8.29,9.29,10.29,11.29,0.83,0.93,1.03,1.13,Normal,50
C40,L1,TypeB,27.89,1.21,14.5,15.5,16.5,17.5,1.45,1.55,1.65,1.75,Normal,50
C41,L1,TypeC,29.69,1.06,11.99,12.99,13.99,14.99,1.2,1.3,1.4,1.5,Normal,50
C42,L1,TypeC,25.45,1.05,8.68,9.68,10.68,11.68,0.87,0.97,1.07,1.17,Normal,50
C43,L1,TypeC,31.34,1.16,10.05,11.05,12.05,60.0,1.0,1.1,1.2,6.0,Absolute_Failure,50
C44,L1,TypeA,34.28,1.24,14.2,15.2,34.2,36.2,1.42,1.52,3.42,3.62,Sudden_Anomaly,50
C45,L1,TypeB,27.06,1.03,13.22,14.22,15.22,16.22,1.32,1.42,1.52,1.62,Normal,50
C46,L1,TypeA,34.9,1.17,8.45,9.45,28.45,30.45,0.84,0.94,2.84,3.04,Sudden_Anomaly,50
C47,L1,TypeB,29.75,1.15,10.98,11.98,12.98,13.98,1.1,1.2,1.3,1.4,Normal,50
C48,L1,TypeC,26.04,1.12,9.93,10.93,11.93,60.0,0.99,1.09,1.19,6.0,Absolute_Failure,50
C49,L1,TypeC,31.51,1.3,14.81,15.81,34.81,36.81,1.48,1.58,3.48,3.68,Sudden_Anomaly,50
C50,L1,TypeB,34.07,1.18,13.84,14.84,15.84,16.84,1.38,1.48,1.58,1.68,Normal,50
C51,L1,TypeA,28.09,1.3,8.18,9.18,10.18,60.0,0.82,0.92,1.02,6.0,Absolute_Failure,50
C52,L1,TypeC,29.16,1.02,8.47,9.47,10.47,11.47,0.85,0.95,1.05,1.15,Normal,50
C53,L1,TypeA,26.9,1.17,13.95,14.95,15.95,16.95,1.4,1.5,1.6,1.7,Normal,50
C54,L1,TypeA,31.78,1.12,13.5,14.5,33.5,35.5,1.35,1.45,3.35,3.55,Sudden_Anomaly,50
C55,L1,TypeB,32.18,1.0,12.85,12.85,12.85,12.85,1.29,1.29,1.29,1.29,High_Stable,50
C56,L1,TypeB,34.66,1.19,13.32,14.32,15.32,16.32,1.33,1.43,1.53,1.63,Normal,50
C57,L1,TypeA,33.26,1.02,13.64,15.64,18.64,23.64,1.36,1.56,1.86,2.36,Latent_Defect,50
C58,L1,TypeB,29.44,1.11,13.83,14.83,15.83,60.0,1.38,1.48,1.58,6.0,Absolute_Failure,50
C59,L1,TypeB,29.97,1.08,14.95,15.95,34.95,36.95,1.5,1.6,3.5,3.7,Sudden_Anomaly,50
