component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA
C4001,L3,TypeB,29.3,1.18,9.24,11.24,14.24,19.24,0.92,1.12,1.42,1.92,Latent_Defect,50
C4002,L3,TypeB,32.63,1.08,9.5,10.5,11.5,60.0,0.95,1.05,1.15,6.0,Absolute_Failure,50
C4003,L3,TypeB,29.16,1.09,11.26,13.26,16.26,21.26,1.13,1.33,1.63,2.13,Latent_Defect,50
C4004,L3,TypeC,33.0,1.22,10.15,10.15,10.15,10.15,1.01,1.01,1.01,1.01,High_Stable,50
C4005,L3,TypeC,34.37,1.14,13.98,15.98,18.98,23.98,1.4,1.6,1.9,2.4,Latent_Defect,50
C4006,L3,TypeC,30.53,1.25,9.22,9.22,9.22,9.22,0.92,0.92,0.92,0.92,High_Stable,50
C4007,L3,TypeA,30.64,1.28,13.95,15.95,18.95,23.95,1.39,1.59,1.89,2.39,Latent_Defect,50
C4008,L3,TypeA,32.04,1.28,9.34,9.34,9.34,9.34,0.93,0.93,0.93,0.93,High_Stable,50
C4009,L3,TypeC,27.14,1.02,8.36,10.36,13.36,18.36,0.84,1.04,1.34,1.84,Latent_Defect,50
C4010,L3,TypeB,28.19,1.02,14.76,14.76,14.76,14.76,1.48,1.48,1.48,1.48,High_Stable,50
C4011,L3,TypeC,25.3,1.25,10.98,12.98,15.98,20.98,1.1,1.3,1.6,2.1,Latent_Defect,50
C4012,L3,TypeB,33.95,1.27,12.97,12.97,12.97,12.97,1.3,1.3,1.3,1.3,High_Stable,50
C4013,L3,TypeB,34.26,1.18,8.1,8.1,8.1,8.1,0.81,0.81,0.81,0.81,High_Stable,50
C4014,L3,TypeB,28.47,1.2,10.33,12.33,15.33,20.33,1.03,1.23,1.53,2.03,Latent_Defect,50
C4015,L3,TypeB,26.51,1.11,10.62,10.62,10.62,10.62,1.06,1.06,1.06,1.06,High_Stable,50
