component_id,lot_id,component_type,temperature_C,voltage_V,iddq_0h_uA,iddq_24h_uA,iddq_96h_uA,iddq_168h_uA,leakage_0h_uA,leakage_24h_uA,leakage_96h_uA,leakage_168h_uA,ground_truth,absolute_limit_uA
C10001,L6,TypeA,34.92,1.09,13.11,14.11,15.11,16.11,1.31,1.41,1.51,1.61,Normal,50
C10002,L6,TypeC,25.79,1.13,10.54,10.54,10.54,10.54,1.05,1.05,1.05,1.05,High_Stable,50
C10003,L6,TypeC,33.16,1.17,11.17,12.17,13.17,60.0,1.12,1.22,1.32,6.0,Absolute_Failure,50
C10004,L6,TypeA,29.6,1.09,11.91,12.91,13.91,60.0,1.19,1.29,1.39,6.0,Absolute_Failure,50
C10005,L6,TypeC,32.66,1.0,8.03,9.03,10.03,60.0,0.8,0.9,1.0,6.0,Absolute_Failure,50
C10006,L6,TypeB,29.16,1.13,14.33,16.33,19.33,24.33,1.43,1.63,1.93,2.43,Latent_Defect,50
C10007,L6,TypeC,27.11,1.27,10.14,11.14,12.14,13.14,1.01,1.11,1.21,1.31,Normal,50
C10008,L6,TypeC,28.84,1.12,12.85,12.85,12.85,12.85,1.28,1.28,1.28,1.28,High_Stable,50
C10009,L6,TypeC,29.78,1.21,9.79,10.79,29.79,31.79,0.98,1.08,2.98,3.18,Sudden_Anomaly,50
C10010,L6,TypeC,33.59,1.19,12.0,12.0,12.0,12.0,1.2,1.2,1.2,1.2,High_Stable,50
C10011,L6,TypeA,32.43,1.25,11.14,13.14,16.14,21.14,1.11,1.31,1.61,2.11,Latent_Defect,50
C10012,L6,TypeA,27.69,1.19,13.53,14.53,15.53,16.53,1.35,1.45,1.55,1.65,Normal,50
C10013,L6,TypeB,33.19,1.08,11.67,12.67,13.67,14.67,1.17,1.27,1.37,1.47,Normal,50
C10014,L6,TypeB,25.01,1.1,13.81,14.81,15.81,60.0,1.38,1.48,1.58,6.0,Absolute_Failure,50
C10015,L6,TypeC,30.7,1.23,14.68,16.68,19.68,24.68,1.47,1.67,1.97,2.47,Latent_Defect,50
C10016,L6,TypeA,26.55,1.02,9.23,10.23,11.23,12.23,0.92,1.02,1.12,1.22,Normal,50
C10017,L6,TypeC,32.75,1.15,8.11,8.11,8.11,8.11,0.81,0.81,0.81,0.81,High_Stable,50
C10018,L6,TypeC,30.57,1.03,12.56,13.56,14.56,15.56,1.26,1.36,1.46,1.56,Normal,50
C10019,L6,TypeA,32.11,1.19,8.33,9.33,28.33,30.33,0.83,0.93,2.83,3.03,Sudden_Anomaly,50
C10020,L6,TypeB,33.26,1.22,8.18,9.18,10.18,60.0,0.82,0.92,1.02,6.0,Absolute_Failure,50
C10021,L6,TypeA,27.26,1.23,14.2,15.2,16.2,17.2,1.42,1.52,1.62,1.72,Normal,50
C10022,L6,TypeC,32.5,1.18,13.16,14.16,15.16,60.0,1.32,1.42,1.52,6.0,Absolute_Failure,50
C10023,L6,TypeA,28.16,1.02,14.2,16.2,19.2,24.2,1.42,1.62,1.92,2.42,Latent_Defect,50
C10024,L6,TypeB,28.17,1.09,8.69,9.69,10.69,60.0,0.87,0.97,1.07,6.0,Absolute_Failure,50
